Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       Egzaminas 
Vardas165           Pavarde165          10        10        4         8         10        9         
Vardas166           Pavarde166          8         5         4         8         3         7         
Vardas167           Pavarde167          0         1         5         10        2         10        
Vardas168           Pavarde168          6         3         9         6         6         1         
Vardas169           Pavarde169          2         5         7         9         7         8         
Vardas170           Pavarde170          5         1         6         2         3         7         
Vardas171           Pavarde171          4         0         4         2         10        6         
Vardas172           Pavarde172          8         0         2         7         0         7         
Vardas173           Pavarde173          9         10        9         6         8         4         
Vardas174           Pavarde174          2         0         3         10        9         4         
Vardas175           Pavarde175          6         5         10        7         1         0         
Vardas176           Pavarde176          1         1         0         9         7         0         
Vardas177           Pavarde177          4         10        3         8         6         8         
Vardas178           Pavarde178          6         9         6         0         3         4         
Vardas179           Pavarde179          0         10        1         5         5         6         
Vardas180           Pavarde180          3         8         2         4         1         9         
Vardas181           Pavarde181          1         10        2         2         2         5         
Vardas182           Pavarde182          3         3         6         6         6         7         
Vardas183           Pavarde183          9         8         7         6         10        9         
Vardas184           Pavarde184          2         10        4         1         5         7         
Vardas185           Pavarde185          2         7         1         9         6         3         
Vardas186           Pavarde186          4         3         9         5         0         2         
Vardas187           Pavarde187          2         1         10        8         0         8         
Vardas188           Pavarde188          2         8         2         3         9         0         
Vardas189           Pavarde189          3         6         2         1         10        2         
Vardas190           Pavarde190          6         1         5         8         3         4         
Vardas191           Pavarde191          1         5         0         4         8         10        
Vardas192           Pavarde192          0         4         10        5         9         6         
Vardas193           Pavarde193          6         4         3         2         0         4         
Vardas194           Pavarde194          7         2         5         10        8         6         
Vardas195           Pavarde195          9         7         5         10        1         6         
Vardas196           Pavarde196          6         7         4         0         5         9         
Vardas197           Pavarde197          1         10        9         9         3         5         
Vardas198           Pavarde198          9         0         7         10        10        9         
Vardas199           Pavarde199          5         8         1         3         1         5         
Vardas200           Pavarde200          9         5         7         8         3         1         
Vardas201           Pavarde201          10        10        9         4         10        3         
Vardas202           Pavarde202          3         3         2         5         4         2         
Vardas203           Pavarde203          5         10        4         8         10        5         
Vardas204           Pavarde204          10        4         0         7         1         6         
Vardas205           Pavarde205          0         6         2         5         0         7         
Vardas206           Pavarde206          1         5         8         6         7         3         
Vardas207           Pavarde207          1         4         1         0         6         7         
Vardas208           Pavarde208          9         10        3         10        5         7         
Vardas209           Pavarde209          7         1         3         3         5         2         
Vardas210           Pavarde210          10        8         4         2         2         6         
Vardas211           Pavarde211          2         5         6         7         9         7         
Vardas212           Pavarde212          9         3         6         0         2         4         
Vardas213           Pavarde213          4         5         0         4         8         9         
Vardas214           Pavarde214          10        6         7         4         9         9         
Vardas215           Pavarde215          2         9         1         1         4         1         
Vardas216           Pavarde216          8         6         2         3         5         3         
Vardas217           Pavarde217          6         2         4         5         9         4         
Vardas218           Pavarde218          6         7         9         8         2         5         
Vardas219           Pavarde219          8         9         1         0         10        9         
Vardas220           Pavarde220          3         10        3         0         6         8         
Vardas221           Pavarde221          4         10        4         3         9         6         
Vardas222           Pavarde222          0         9         7         3         5         4         
Vardas223           Pavarde223          8         7         1         7         3         5         
Vardas224           Pavarde224          9         2         2         1         1         5         
Vardas225           Pavarde225          6         1         3         9         6         6         
Vardas226           Pavarde226          8         1         4         5         7         10        
Vardas227           Pavarde227          9         1         4         8         1         3         
Vardas228           Pavarde228          1         3         10        5         7         5         
Vardas229           Pavarde229          10        0         2         3         1         7         
Vardas230           Pavarde230          4         7         7         5         0         8         
Vardas231           Pavarde231          3         1         1         0         9         4         
Vardas232           Pavarde232          9         2         4         7         9         3         
Vardas233           Pavarde233          10        2         2         8         10        5         
Vardas234           Pavarde234          8         4         0         1         4         1         
Vardas235           Pavarde235          0         8         0         5         7         10        
Vardas236           Pavarde236          4         4         1         2         3         7         
Vardas237           Pavarde237          9         3         7         9         10        1         
Vardas238           Pavarde238          8         9         10        5         8         4         
Vardas239           Pavarde239          7         10        9         3         6         6         
Vardas240           Pavarde240          10        3         9         2         7         0         
Vardas241           Pavarde241          8         0         3         0         6         5         
Vardas242           Pavarde242          7         3         5         6         3         10        
Vardas243           Pavarde243          0         6         0         10        3         8         
Vardas244           Pavarde244          2         5         4         4         10        7         
Vardas245           Pavarde245          9         6         4         0         10        8         
Vardas246           Pavarde246          0         7         9         10        4         9         
Vardas247           Pavarde247          1         6         8         7         4         3         
Vardas248           Pavarde248          3         0         5         3         9         5         
Vardas249           Pavarde249          2         2         6         4         4         1         
Vardas250           Pavarde250          2         0         5         7         6         4         
Vardas251           Pavarde251          6         1         2         10        0         8         
Vardas252           Pavarde252          2         2         3         1         6         4         
Vardas253           Pavarde253          1         3         3         4         0         3         
Vardas254           Pavarde254          6         5         0         2         0         2         
Vardas255           Pavarde255          7         0         0         4         9         2         
Vardas256           Pavarde256          10        6         3         10        4         7         
Vardas257           Pavarde257          5         0         2         4         5         6         
Vardas258           Pavarde258          2         9         6         9         1         5         
Vardas259           Pavarde259          1         10        3         0         2         9         
Vardas260           Pavarde260          0         2         10        1         3         6         
Vardas261           Pavarde261          5         10        10        8         8         8         
Vardas262           Pavarde262          0         1         9         2         2         8         
Vardas263           Pavarde263          1         6         3         0         0         0         
Vardas264           Pavarde264          10        2         4         5         6         7         
Vardas265           Pavarde265          9         9         7         10        10        7         
Vardas266           Pavarde266          8         3         1         9         1         4         
Vardas267           Pavarde267          10        7         9         7         5         4         
Vardas268           Pavarde268          0         6         1         0         5         1         
Vardas269           Pavarde269          5         2         2         3         2         2         
Vardas270           Pavarde270          3         10        6         5         9         2         
Vardas271           Pavarde271          7         2         0         10        9         0         
Vardas272           Pavarde272          2         5         1         1         2         3         
Vardas273           Pavarde273          9         10        2         5         0         4         
Vardas274           Pavarde274          2         0         1         3         7         5         
Vardas275           Pavarde275          2         8         6         7         3         2         
Vardas276           Pavarde276          9         3         4         5         10        0         
Vardas277           Pavarde277          3         6         10        8         8         7         
Vardas278           Pavarde278          0         6         9         5         8         6         
Vardas279           Pavarde279          7         9         6         5         4         6         
Vardas280           Pavarde280          9         5         2         9         0         6         
Vardas281           Pavarde281          3         7         6         9         0         4         
Vardas282           Pavarde282          10        1         6         8         6         6         
Vardas283           Pavarde283          2         7         2         3         6         9         
Vardas284           Pavarde284          9         9         10        3         9         2         
Vardas285           Pavarde285          0         9         7         8         0         4         
Vardas286           Pavarde286          2         0         1         1         6         2         
Vardas287           Pavarde287          9         8         8         5         2         4         
Vardas288           Pavarde288          1         3         4         9         3         7         
Vardas289           Pavarde289          3         4         5         5         1         0         
Vardas290           Pavarde290          0         3         2         9         3         6         
Vardas291           Pavarde291          2         5         1         2         9         10        
Vardas292           Pavarde292          2         4         1         9         9         5         
Vardas293           Pavarde293          6         9         7         3         8         4         
Vardas294           Pavarde294          2         1         2         10        4         3         
Vardas295           Pavarde295          10        2         2         1         1         10        
Vardas296           Pavarde296          9         4         7         2         4         8         
Vardas297           Pavarde297          4         2         6         5         5         8         
Vardas298           Pavarde298          8         10        4         6         9         4         
Vardas299           Pavarde299          10        10        3         2         3         0         
Vardas300           Pavarde300          4         7         4         4         10        5         
Vardas301           Pavarde301          3         5         8         3         3         2         
Vardas302           Pavarde302          4         10        9         0         3         1         
Vardas303           Pavarde303          3         8         1         4         0         9         
Vardas304           Pavarde304          10        0         2         7         4         5         
Vardas305           Pavarde305          8         0         6         9         2         0         
Vardas306           Pavarde306          5         4         9         2         5         3         
Vardas307           Pavarde307          2         8         4         8         5         7         
Vardas308           Pavarde308          7         0         2         9         1         7         
Vardas309           Pavarde309          7         8         5         9         4         1         
Vardas310           Pavarde310          9         6         0         4         4         3         
Vardas311           Pavarde311          7         9         7         1         0         6         
Vardas312           Pavarde312          1         8         8         0         7         9         
Vardas313           Pavarde313          9         5         1         4         1         2         
Vardas314           Pavarde314          9         7         10        10        10        6         
Vardas315           Pavarde315          2         4         6         3         10        5         
Vardas316           Pavarde316          5         10        8         7         10        5         
Vardas317           Pavarde317          7         3         1         4         2         10        
Vardas318           Pavarde318          9         4         3         9         0         8         
Vardas319           Pavarde319          9         2         1         2         3         9         
Vardas320           Pavarde320          0         7         5         6         3         10        
Vardas321           Pavarde321          9         10        0         7         2         4         
Vardas322           Pavarde322          5         0         10        2         1         9         
Vardas323           Pavarde323          9         5         1         4         3         2         
Vardas324           Pavarde324          3         5         8         3         9         2         
Vardas325           Pavarde325          4         0         9         5         9         3         
Vardas326           Pavarde326          0         7         10        2         9         3         
Vardas327           Pavarde327          8         4         10        1         8         5         
Vardas328           Pavarde328          3         0         9         3         2         7         
Vardas329           Pavarde329          0         5         1         3         10        2         
Vardas330           Pavarde330          10        8         4         1         3         9         
Vardas331           Pavarde331          7         8         2         8         4         2         
Vardas332           Pavarde332          5         9         3         5         8         6         
Vardas333           Pavarde333          5         1         3         7         3         9         
Vardas334           Pavarde334          6         1         1         9         1         4         
Vardas335           Pavarde335          8         7         10        7         2         3         
Vardas336           Pavarde336          0         2         10        5         5         10        
Vardas337           Pavarde337          0         3         9         6         3         2         
Vardas338           Pavarde338          10        2         5         6         0         2         
Vardas339           Pavarde339          0         6         2         7         3         10        
Vardas340           Pavarde340          5         0         2         10        1         10        
Vardas341           Pavarde341          0         10        4         6         2         0         
Vardas342           Pavarde342          8         9         1         5         10        9         
Vardas343           Pavarde343          10        1         4         7         2         4         
Vardas344           Pavarde344          4         9         3         0         8         4         
Vardas345           Pavarde345          0         0         8         2         2         9         
Vardas346           Pavarde346          2         4         6         2         3         2         
Vardas347           Pavarde347          2         9         2         9         3         8         
Vardas348           Pavarde348          8         10        0         1         0         7         
Vardas349           Pavarde349          3         7         0         8         4         5         
Vardas350           Pavarde350          10        0         8         7         5         2         
Vardas351           Pavarde351          1         4         4         5         4         8         
Vardas352           Pavarde352          2         2         10        1         7         8         
Vardas353           Pavarde353          2         4         2         5         0         10        
Vardas354           Pavarde354          10        0         4         0         5         6         
Vardas355           Pavarde355          10        7         3         10        10        8         
Vardas356           Pavarde356          1         3         2         6         7         5         
Vardas357           Pavarde357          5         4         4         9         4         4         
Vardas358           Pavarde358          9         8         4         3         7         7         
Vardas359           Pavarde359          4         4         10        5         6         2         
Vardas360           Pavarde360          3         5         0         4         1         4         
Vardas361           Pavarde361          6         7         7         4         2         6         
Vardas362           Pavarde362          0         5         1         6         0         9         
Vardas363           Pavarde363          3         6         2         8         10        9         
Vardas364           Pavarde364          4         6         3         8         3         0         
Vardas365           Pavarde365          10        10        6         9         0         8         
Vardas366           Pavarde366          4         2         6         5         10        1         
Vardas367           Pavarde367          6         0         5         5         9         0         
Vardas368           Pavarde368          6         6         0         6         4         9         
Vardas369           Pavarde369          4         10        9         10        5         7         
Vardas370           Pavarde370          0         10        0         0         1         5         
Vardas371           Pavarde371          0         2         8         2         6         10        
Vardas372           Pavarde372          10        6         2         7         3         6         
Vardas373           Pavarde373          5         3         7         3         6         6         
Vardas374           Pavarde374          7         9         10        9         0         7         
Vardas375           Pavarde375          9         7         1         0         9         4         
Vardas376           Pavarde376          3         10        7         7         4         2         
Vardas377           Pavarde377          5         6         4         4         9         5         
Vardas378           Pavarde378          10        4         6         9         0         4         
Vardas379           Pavarde379          5         10        8         5         10        5         
Vardas380           Pavarde380          9         0         10        2         7         3         
Vardas381           Pavarde381          5         7         6         9         0         4         
Vardas382           Pavarde382          5         4         9         7         1         7         
Vardas383           Pavarde383          6         10        3         7         10        0         
Vardas384           Pavarde384          8         0         5         9         3         6         
Vardas385           Pavarde385          0         0         3         1         8         5         
Vardas386           Pavarde386          7         8         6         5         10        2         
Vardas387           Pavarde387          3         9         1         3         1         4         
Vardas388           Pavarde388          9         5         9         10        6         0         
Vardas389           Pavarde389          7         1         10        3         7         8         
Vardas390           Pavarde390          6         7         0         4         0         5         
Vardas391           Pavarde391          4         3         6         6         5         4         
Vardas392           Pavarde392          5         6         4         2         0         3         
Vardas393           Pavarde393          10        9         0         10        0         1         
Vardas394           Pavarde394          0         4         9         3         8         4         
Vardas395           Pavarde395          8         4         1         0         5         9         
Vardas396           Pavarde396          1         9         10        3         4         8         
Vardas397           Pavarde397          6         5         7         9         7         9         
Vardas398           Pavarde398          5         3         9         2         3         10        
Vardas399           Pavarde399          1         6         5         1         7         10        
Vardas400           Pavarde400          1         6         0         0         4         10        
Vardas401           Pavarde401          6         4         0         2         1         3         
Vardas402           Pavarde402          5         6         6         3         6         4         
Vardas403           Pavarde403          3         1         8         8         7         10        
Vardas404           Pavarde404          4         4         7         1         9         4         
Vardas405           Pavarde405          2         6         9         6         10        2         
Vardas406           Pavarde406          8         3         10        4         6         5         
Vardas407           Pavarde407          1         6         10        8         4         0         
Vardas408           Pavarde408          8         0         7         10        1         0         
Vardas409           Pavarde409          6         1         5         2         3         7         
Vardas410           Pavarde410          4         9         6         3         5         7         
Vardas411           Pavarde411          1         1         4         10        5         7         
Vardas412           Pavarde412          5         10        3         9         4         3         
Vardas413           Pavarde413          4         9         3         8         8         0         
Vardas414           Pavarde414          4         4         9         2         5         8         
Vardas415           Pavarde415          9         10        10        7         2         4         
Vardas416           Pavarde416          4         7         4         4         6         9         
Vardas417           Pavarde417          1         2         0         2         8         5         
Vardas418           Pavarde418          10        5         4         1         6         5         
Vardas419           Pavarde419          4         7         1         10        9         10        
Vardas420           Pavarde420          4         7         10        2         7         1         
Vardas421           Pavarde421          1         0         10        1         8         7         
Vardas422           Pavarde422          3         7         6         1         8         8         
Vardas423           Pavarde423          3         3         10        5         6         5         
Vardas424           Pavarde424          0         6         3         9         8         0         
Vardas425           Pavarde425          10        3         5         9         9         7         
Vardas426           Pavarde426          7         8         2         5         7         1         
Vardas427           Pavarde427          6         4         5         1         0         8         
Vardas428           Pavarde428          4         10        10        8         9         1         
Vardas429           Pavarde429          5         6         10        2         3         6         
Vardas430           Pavarde430          3         0         9         0         7         0         
Vardas431           Pavarde431          3         9         1         9         1         10        
Vardas432           Pavarde432          3         6         0         6         8         2         
Vardas433           Pavarde433          7         0         7         1         3         7         
Vardas434           Pavarde434          2         4         4         6         8         6         
Vardas435           Pavarde435          4         1         7         8         5         10        
Vardas436           Pavarde436          0         9         3         9         10        5         
Vardas437           Pavarde437          2         9         0         6         7         3         
Vardas438           Pavarde438          6         3         0         10        4         10        
Vardas439           Pavarde439          5         10        4         7         0         7         
Vardas440           Pavarde440          10        9         8         4         7         0         
Vardas441           Pavarde441          3         2         6         7         1         6         
Vardas442           Pavarde442          1         8         0         10        3         0         
Vardas443           Pavarde443          6         5         7         3         4         7         
Vardas444           Pavarde444          0         5         10        2         6         9         
Vardas445           Pavarde445          7         0         3         7         2         1         
