Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       Egzaminas 
Vardas80            Pavarde80           1         8         4         3         5         1         
Vardas81            Pavarde81           3         7         7         9         9         5         
Vardas82            Pavarde82           9         3         5         5         3         9         
Vardas83            Pavarde83           7         8         6         4         9         3         
Vardas84            Pavarde84           2         6         7         2         10        7         
Vardas85            Pavarde85           8         0         6         0         7         4         
Vardas86            Pavarde86           6         4         4         7         5         1         
Vardas87            Pavarde87           4         4         7         10        4         4         
Vardas88            Pavarde88           7         6         5         10        8         6         
Vardas89            Pavarde89           0         0         4         9         6         8         
Vardas90            Pavarde90           4         1         6         2         2         2         
Vardas91            Pavarde91           6         2         1         8         10        1         
Vardas92            Pavarde92           0         0         3         5         1         3         
Vardas93            Pavarde93           3         3         4         8         10        1         
Vardas94            Pavarde94           4         5         8         10        3         10        
Vardas95            Pavarde95           3         1         1         10        2         2         
Vardas96            Pavarde96           0         4         4         10        10        3         
Vardas97            Pavarde97           5         7         9         3         10        3         
Vardas98            Pavarde98           10        10        1         8         8         2         
Vardas99            Pavarde99           8         3         3         3         5         10        
Vardas100           Pavarde100          1         1         8         0         4         5         
Vardas101           Pavarde101          8         2         2         1         3         3         
Vardas102           Pavarde102          7         3         4         6         8         7         
Vardas103           Pavarde103          0         10        3         2         4         2         
Vardas104           Pavarde104          3         0         2         9         10        1         
Vardas105           Pavarde105          10        5         4         4         2         6         
Vardas106           Pavarde106          2         8         7         3         2         9         
Vardas107           Pavarde107          5         8         7         0         0         1         
Vardas108           Pavarde108          1         10        9         0         3         0         
Vardas109           Pavarde109          7         9         0         1         2         4         
Vardas110           Pavarde110          1         0         3         9         7         4         
Vardas111           Pavarde111          9         0         7         0         8         6         
Vardas112           Pavarde112          10        2         10        5         8         5         
Vardas113           Pavarde113          2         1         1         3         0         8         
Vardas114           Pavarde114          3         3         1         9         10        8         
Vardas115           Pavarde115          3         8         1         7         9         3         
Vardas116           Pavarde116          9         2         6         7         8         3         
Vardas117           Pavarde117          3         5         9         7         8         3         
Vardas118           Pavarde118          8         8         1         4         9         8         
Vardas119           Pavarde119          7         3         9         2         9         6         
Vardas120           Pavarde120          3         10        1         8         1         1         
Vardas121           Pavarde121          7         9         1         10        1         4         
Vardas122           Pavarde122          8         2         1         10        1         9         
Vardas123           Pavarde123          2         7         4         2         10        7         
Vardas124           Pavarde124          6         6         8         2         7         9         
Vardas125           Pavarde125          8         0         5         4         7         5         
Vardas126           Pavarde126          3         4         0         2         2         2         
Vardas127           Pavarde127          10        5         2         8         7         6         
Vardas128           Pavarde128          6         10        4         9         6         6         
Vardas129           Pavarde129          6         8         1         2         7         10        
Vardas130           Pavarde130          6         4         6         7         8         0         
Vardas131           Pavarde131          2         7         2         4         1         7         
Vardas132           Pavarde132          5         2         9         4         8         2         
Vardas133           Pavarde133          9         1         5         6         4         6         
Vardas134           Pavarde134          3         8         2         5         8         5         
Vardas135           Pavarde135          3         7         0         1         9         7         
Vardas136           Pavarde136          1         2         1         2         7         7         
Vardas137           Pavarde137          1         6         6         7         5         8         
Vardas138           Pavarde138          8         4         9         5         6         6         
Vardas139           Pavarde139          8         10        4         7         2         3         
Vardas140           Pavarde140          4         0         1         6         10        9         
Vardas141           Pavarde141          7         5         3         0         4         7         
Vardas142           Pavarde142          0         7         10        0         7         1         
Vardas143           Pavarde143          9         3         9         10        9         3         
Vardas144           Pavarde144          8         2         2         9         7         6         
Vardas145           Pavarde145          6         10        7         8         7         0         
Vardas146           Pavarde146          5         5         9         3         9         9         
Vardas147           Pavarde147          7         8         7         8         8         2         
Vardas148           Pavarde148          4         4         6         6         6         2         
Vardas149           Pavarde149          9         7         10        9         8         1         
Vardas150           Pavarde150          4         7         4         3         6         9         
Vardas151           Pavarde151          5         8         10        9         4         5         
Vardas152           Pavarde152          1         2         1         0         5         8         
Vardas153           Pavarde153          7         9         7         6         10        5         
Vardas154           Pavarde154          1         3         7         3         2         2         
Vardas155           Pavarde155          6         2         3         3         7         0         
Vardas156           Pavarde156          7         4         1         7         3         4         
Vardas157           Pavarde157          0         0         8         10        3         1         
Vardas158           Pavarde158          10        4         8         0         9         10        
Vardas159           Pavarde159          3         0         7         2         9         10        
Vardas160           Pavarde160          2         10        3         2         2         5         
Vardas161           Pavarde161          7         4         10        10        5         0         
Vardas162           Pavarde162          0         4         7         5         2         1         
Vardas163           Pavarde163          8         6         2         2         3         2         
Vardas164           Pavarde164          2         1         6         0         10        9         
Vardas165           Pavarde165          8         8         10        8         1         5         
Vardas166           Pavarde166          9         4         4         1         7         3         
Vardas167           Pavarde167          6         10        3         2         7         3         
Vardas168           Pavarde168          7         7         7         4         7         6         
Vardas169           Pavarde169          4         3         4         4         7         7         
Vardas170           Pavarde170          10        7         7         10        1         2         
Vardas171           Pavarde171          9         0         2         0         5         5         
Vardas172           Pavarde172          2         7         4         2         8         3         
Vardas173           Pavarde173          5         4         2         7         7         5         
Vardas174           Pavarde174          10        7         5         6         2         10        
Vardas175           Pavarde175          8         3         1         5         5         10        
Vardas176           Pavarde176          1         2         6         9         8         10        
Vardas177           Pavarde177          1         8         10        5         10        6         
Vardas178           Pavarde178          0         3         4         2         0         3         
Vardas179           Pavarde179          9         6         4         0         9         3         
Vardas180           Pavarde180          0         5         4         1         6         2         
Vardas181           Pavarde181          7         8         10        2         0         5         
Vardas182           Pavarde182          2         8         4         5         2         4         
Vardas183           Pavarde183          3         7         10        4         4         2         
Vardas184           Pavarde184          4         10        1         5         2         8         
Vardas185           Pavarde185          4         2         6         2         5         3         
Vardas186           Pavarde186          5         2         7         4         5         6         
Vardas187           Pavarde187          4         9         9         1         8         7         
Vardas188           Pavarde188          1         1         2         1         1         3         
Vardas189           Pavarde189          5         10        3         2         4         0         
Vardas190           Pavarde190          8         2         5         0         7         0         
Vardas191           Pavarde191          4         3         6         4         2         8         
Vardas192           Pavarde192          2         6         10        4         2         0         
Vardas193           Pavarde193          0         6         2         3         10        9         
Vardas194           Pavarde194          0         0         8         10        10        6         
Vardas195           Pavarde195          1         3         5         3         1         3         
Vardas196           Pavarde196          9         5         0         7         7         6         
Vardas197           Pavarde197          6         9         5         10        2         3         
Vardas198           Pavarde198          1         3         7         8         4         5         
Vardas199           Pavarde199          2         7         4         9         1         5         
Vardas200           Pavarde200          8         0         0         3         1         3         
Vardas201           Pavarde201          8         7         1         7         10        7         
Vardas202           Pavarde202          9         9         7         3         10        5         
Vardas203           Pavarde203          7         5         0         3         6         8         
Vardas204           Pavarde204          2         6         4         5         0         8         
Vardas205           Pavarde205          0         2         2         7         10        9         
Vardas206           Pavarde206          9         6         7         2         10        10        
Vardas207           Pavarde207          2         10        1         4         7         4         
Vardas208           Pavarde208          5         7         1         4         2         6         
Vardas209           Pavarde209          9         1         5         0         4         6         
Vardas210           Pavarde210          2         9         6         10        2         10        
Vardas211           Pavarde211          5         4         8         7         5         4         
Vardas212           Pavarde212          1         3         2         1         4         2         
Vardas213           Pavarde213          2         9         0         5         0         3         
Vardas214           Pavarde214          5         0         9         2         0         10        
Vardas215           Pavarde215          8         0         2         7         1         5         
Vardas216           Pavarde216          4         8         0         6         0         4         
Vardas217           Pavarde217          0         6         7         7         2         7         
Vardas218           Pavarde218          3         0         6         0         4         4         
Vardas219           Pavarde219          1         3         3         0         8         0         
Vardas220           Pavarde220          1         6         10        2         1         9         
Vardas221           Pavarde221          10        8         6         7         4         8         
Vardas222           Pavarde222          1         8         9         4         8         2         
Vardas223           Pavarde223          1         9         10        6         1         4         
Vardas224           Pavarde224          3         6         10        4         4         5         
Vardas225           Pavarde225          10        8         9         7         8         2         
Vardas226           Pavarde226          3         1         7         1         7         9         
Vardas227           Pavarde227          10        0         1         0         2         2         
Vardas228           Pavarde228          2         10        10        4         6         6         
Vardas229           Pavarde229          3         10        5         2         4         7         
Vardas230           Pavarde230          10        10        3         8         1         8         
Vardas231           Pavarde231          5         6         7         2         8         6         
Vardas232           Pavarde232          10        3         4         5         3         10        
Vardas233           Pavarde233          7         0         9         9         7         0         
Vardas234           Pavarde234          9         10        1         10        9         9         
Vardas235           Pavarde235          10        0         8         4         7         2         
Vardas236           Pavarde236          0         0         9         3         4         3         
Vardas237           Pavarde237          9         2         2         7         4         0         
Vardas238           Pavarde238          7         7         2         0         9         8         
Vardas239           Pavarde239          10        6         9         6         8         2         
Vardas240           Pavarde240          4         4         1         1         4         0         
Vardas241           Pavarde241          2         0         1         4         9         6         
Vardas242           Pavarde242          4         7         2         1         10        5         
Vardas243           Pavarde243          8         3         5         4         10        6         
Vardas244           Pavarde244          8         6         8         3         0         6         
Vardas245           Pavarde245          7         5         1         4         3         6         
Vardas246           Pavarde246          10        9         0         3         3         3         
Vardas247           Pavarde247          3         4         8         0         3         2         
Vardas248           Pavarde248          1         2         9         6         10        7         
Vardas249           Pavarde249          7         1         2         8         0         6         
Vardas250           Pavarde250          10        6         7         5         8         1         
Vardas251           Pavarde251          10        5         7         10        2         8         
Vardas252           Pavarde252          6         5         0         10        6         2         
Vardas253           Pavarde253          0         8         5         7         3         10        
Vardas254           Pavarde254          2         6         10        8         10        6         
Vardas255           Pavarde255          10        8         0         2         1         10        
Vardas256           Pavarde256          2         0         1         9         4         1         
Vardas257           Pavarde257          1         4         7         1         10        2         
Vardas258           Pavarde258          5         7         1         9         0         10        
Vardas259           Pavarde259          5         4         7         8         4         6         
Vardas260           Pavarde260          9         7         5         1         9         7         
Vardas261           Pavarde261          1         0         2         10        9         9         
Vardas262           Pavarde262          5         7         1         4         1         2         
Vardas263           Pavarde263          3         7         4         7         3         4         
Vardas264           Pavarde264          4         8         4         5         5         6         
Vardas265           Pavarde265          5         9         4         9         9         0         
Vardas266           Pavarde266          2         1         1         4         9         6         
Vardas267           Pavarde267          9         3         0         3         7         10        
Vardas268           Pavarde268          6         1         3         8         8         0         
Vardas269           Pavarde269          10        10        0         1         1         2         
Vardas270           Pavarde270          8         5         0         8         8         3         
Vardas271           Pavarde271          8         8         10        5         0         6         
Vardas272           Pavarde272          3         6         3         4         8         5         
Vardas273           Pavarde273          8         10        0         0         8         9         
Vardas274           Pavarde274          10        4         2         5         3         8         
Vardas275           Pavarde275          6         7         9         0         4         6         
Vardas276           Pavarde276          10        6         8         0         2         1         
Vardas277           Pavarde277          6         4         2         0         2         10        
Vardas278           Pavarde278          4         7         9         1         8         10        
Vardas279           Pavarde279          9         1         8         5         2         8         
Vardas280           Pavarde280          9         1         8         1         10        5         
Vardas281           Pavarde281          10        5         9         1         5         9         
Vardas282           Pavarde282          0         8         9         6         4         6         
Vardas283           Pavarde283          10        2         3         6         5         1         
Vardas284           Pavarde284          10        3         1         1         9         3         
Vardas285           Pavarde285          7         1         3         6         10        9         
Vardas286           Pavarde286          10        7         6         10        7         6         
Vardas287           Pavarde287          3         3         10        10        7         10        
Vardas288           Pavarde288          3         2         0         9         6         4         
Vardas289           Pavarde289          8         0         8         3         2         3         
Vardas290           Pavarde290          5         1         2         6         7         4         
Vardas291           Pavarde291          10        10        10        7         10        4         
Vardas292           Pavarde292          1         3         1         5         1         5         
Vardas293           Pavarde293          6         7         6         4         5         10        
Vardas294           Pavarde294          6         5         10        7         1         0         
Vardas295           Pavarde295          7         9         6         8         0         9         
Vardas296           Pavarde296          10        8         4         6         9         2         
Vardas297           Pavarde297          10        10        7         9         2         2         
Vardas298           Pavarde298          10        5         5         0         8         2         
Vardas299           Pavarde299          3         10        3         9         2         4         
Vardas300           Pavarde300          10        9         10        10        2         3         
Vardas301           Pavarde301          5         1         8         3         4         0         
Vardas302           Pavarde302          3         7         0         9         6         3         
Vardas303           Pavarde303          3         6         2         0         6         8         
Vardas304           Pavarde304          4         8         7         0         6         1         
Vardas305           Pavarde305          6         9         4         3         7         7         
Vardas306           Pavarde306          6         1         0         0         3         8         
Vardas307           Pavarde307          8         5         5         3         1         0         
Vardas308           Pavarde308          0         1         6         8         6         2         
Vardas309           Pavarde309          4         3         5         2         8         0         
Vardas310           Pavarde310          10        8         6         5         2         9         
Vardas311           Pavarde311          6         10        7         3         8         4         
Vardas312           Pavarde312          0         3         0         5         8         8         
Vardas313           Pavarde313          9         8         10        1         3         6         
Vardas314           Pavarde314          10        0         3         10        8         10        
Vardas315           Pavarde315          0         8         10        9         7         2         
Vardas316           Pavarde316          6         6         2         3         10        0         
Vardas317           Pavarde317          7         3         8         3         0         5         
Vardas318           Pavarde318          6         7         9         2         8         9         
Vardas319           Pavarde319          6         0         7         3         4         8         
Vardas320           Pavarde320          7         2         2         10        7         7         
Vardas321           Pavarde321          0         7         3         9         10        3         
Vardas322           Pavarde322          8         9         8         1         6         1         
Vardas323           Pavarde323          4         10        2         3         0         6         
Vardas324           Pavarde324          4         8         7         0         2         2         
Vardas325           Pavarde325          5         10        2         7         9         8         
Vardas326           Pavarde326          9         9         2         9         10        0         
Vardas327           Pavarde327          10        10        4         3         2         3         
Vardas328           Pavarde328          3         4         8         5         8         10        
Vardas329           Pavarde329          8         6         8         1         8         5         
Vardas330           Pavarde330          4         10        7         8         2         4         
Vardas331           Pavarde331          7         4         6         4         7         8         
Vardas332           Pavarde332          9         6         9         5         4         3         
Vardas333           Pavarde333          8         3         4         3         3         6         
Vardas334           Pavarde334          5         5         9         8         8         3         
Vardas335           Pavarde335          8         6         10        1         10        8         
Vardas336           Pavarde336          10        5         6         10        9         5         
Vardas337           Pavarde337          3         7         9         5         10        7         
Vardas338           Pavarde338          3         9         8         7         0         8         
Vardas339           Pavarde339          10        1         1         3         4         5         
Vardas340           Pavarde340          3         7         1         1         7         10        
Vardas341           Pavarde341          1         0         6         2         8         7         
Vardas342           Pavarde342          5         0         4         1         0         7         
Vardas343           Pavarde343          3         10        10        4         4         6         
Vardas344           Pavarde344          3         7         7         1         3         3         
Vardas345           Pavarde345          8         3         4         5         0         10        
Vardas346           Pavarde346          5         3         2         0         5         10        
Vardas347           Pavarde347          7         9         4         3         10        2         
Vardas348           Pavarde348          3         8         9         7         0         7         
Vardas349           Pavarde349          4         9         9         4         8         3         
Vardas350           Pavarde350          5         10        2         0         0         3         
Vardas351           Pavarde351          2         10        1         1         4         3         
Vardas352           Pavarde352          6         2         2         6         3         7         
Vardas353           Pavarde353          0         9         6         4         5         0         
Vardas354           Pavarde354          6         9         6         3         7         6         
Vardas355           Pavarde355          1         7         3         1         3         3         
Vardas356           Pavarde356          8         7         7         4         3         4         
Vardas357           Pavarde357          0         7         1         10        1         8         
Vardas358           Pavarde358          9         2         5         4         0         2         
Vardas359           Pavarde359          8         4         3         4         9         0         
Vardas360           Pavarde360          4         8         3         3         8         4         
Vardas361           Pavarde361          5         2         7         6         2         6         
Vardas362           Pavarde362          9         6         4         8         9         7         
Vardas363           Pavarde363          8         3         0         7         10        8         
Vardas364           Pavarde364          8         1         9         8         8         10        
Vardas365           Pavarde365          9         1         1         3         8         7         
Vardas366           Pavarde366          7         2         5         0         5         8         
Vardas367           Pavarde367          6         10        3         10        8         7         
Vardas368           Pavarde368          5         9         10        7         8         10        
Vardas369           Pavarde369          3         7         9         2         8         8         
Vardas370           Pavarde370          1         5         7         5         1         2         
Vardas371           Pavarde371          0         10        5         5         0         1         
Vardas372           Pavarde372          0         7         8         1         4         2         
Vardas373           Pavarde373          6         7         4         2         1         9         
Vardas374           Pavarde374          4         10        1         5         7         2         
Vardas375           Pavarde375          7         1         1         5         1         7         
Vardas376           Pavarde376          8         6         2         9         1         4         
Vardas377           Pavarde377          10        3         5         1         6         4         
Vardas378           Pavarde378          2         6         1         0         2         2         
Vardas379           Pavarde379          4         10        7         3         1         4         
Vardas380           Pavarde380          10        5         1         6         8         6         
Vardas381           Pavarde381          1         4         7         4         8         3         
Vardas382           Pavarde382          6         4         8         0         9         9         
Vardas383           Pavarde383          4         10        1         10        1         10        
Vardas384           Pavarde384          7         4         10        7         0         2         
Vardas385           Pavarde385          1         2         1         2         6         6         
Vardas386           Pavarde386          9         10        7         2         5         2         
Vardas387           Pavarde387          7         7         9         7         1         3         
Vardas388           Pavarde388          8         9         6         3         10        7         
Vardas389           Pavarde389          8         0         8         6         2         5         
Vardas390           Pavarde390          10        2         8         5         6         9         
Vardas391           Pavarde391          7         4         2         2         10        6         
Vardas392           Pavarde392          10        10        8         9         6         2         
Vardas393           Pavarde393          4         0         2         10        3         10        
Vardas394           Pavarde394          4         7         8         5         4         7         
Vardas395           Pavarde395          8         9         0         1         6         10        
Vardas396           Pavarde396          0         1         10        7         7         7         
Vardas397           Pavarde397          7         0         6         9         0         9         
Vardas398           Pavarde398          4         3         8         4         1         5         
Vardas399           Pavarde399          4         9         0         1         3         0         
Vardas400           Pavarde400          0         8         2         4         2         3         
Vardas401           Pavarde401          1         4         10        10        9         2         
Vardas402           Pavarde402          5         5         9         1         4         1         
Vardas403           Pavarde403          4         8         0         0         2         1         
Vardas404           Pavarde404          2         10        3         7         1         0         
Vardas405           Pavarde405          5         4         5         2         9         5         
Vardas406           Pavarde406          0         2         10        1         7         4         
Vardas407           Pavarde407          0         10        2         8         5         1         
Vardas408           Pavarde408          6         3         2         5         10        7         
Vardas409           Pavarde409          0         5         4         3         6         8         
Vardas410           Pavarde410          4         1         4         6         2         1         
Vardas411           Pavarde411          9         3         8         9         3         1         
Vardas412           Pavarde412          0         7         10        10        5         8         
Vardas413           Pavarde413          8         9         6         10        2         2         
Vardas414           Pavarde414          7         4         3         5         9         4         
Vardas415           Pavarde415          5         0         7         10        4         10        
Vardas416           Pavarde416          2         4         1         4         9         8         
Vardas417           Pavarde417          5         6         6         5         4         9         
Vardas418           Pavarde418          0         9         6         4         1         0         
Vardas419           Pavarde419          6         0         4         9         0         6         
Vardas420           Pavarde420          6         7         2         2         3         7         
Vardas421           Pavarde421          8         10        8         2         2         1         
Vardas422           Pavarde422          7         9         10        0         5         2         
Vardas423           Pavarde423          9         8         9         0         3         6         
Vardas424           Pavarde424          4         5         3         6         9         7         
Vardas425           Pavarde425          6         1         0         2         3         3         
Vardas426           Pavarde426          5         1         0         9         10        9         
Vardas427           Pavarde427          8         7         6         10        9         1         
Vardas428           Pavarde428          7         3         6         6         1         2         
Vardas429           Pavarde429          8         0         9         3         2         5         
Vardas430           Pavarde430          1         3         1         1         8         0         
Vardas431           Pavarde431          2         10        10        1         4         4         
Vardas432           Pavarde432          7         1         8         0         3         7         
Vardas433           Pavarde433          4         6         1         10        0         1         
Vardas434           Pavarde434          2         8         1         7         2         10        
Vardas435           Pavarde435          0         1         4         10        5         0         
Vardas436           Pavarde436          6         9         10        9         6         5         
Vardas437           Pavarde437          5         7         7         2         1         10        
Vardas438           Pavarde438          5         8         10        3         6         8         
Vardas439           Pavarde439          7         5         10        4         9         6         
Vardas440           Pavarde440          6         8         8         7         5         9         
Vardas441           Pavarde441          9         1         6         2         6         1         
Vardas442           Pavarde442          10        3         9         7         10        5         
Vardas443           Pavarde443          4         6         1         2         4         8         
Vardas444           Pavarde444          10        8         10        8         6         8         
Vardas445           Pavarde445          8         7         0         6         4         9         
Vardas446           Pavarde446          9         8         7         9         6         3         
Vardas447           Pavarde447          1         2         2         4         7         4         
Vardas448           Pavarde448          5         1         5         4         5         7         
Vardas449           Pavarde449          4         3         5         2         9         0         
Vardas450           Pavarde450          4         8         5         7         0         9         
Vardas451           Pavarde451          5         6         4         3         9         10        
Vardas452           Pavarde452          1         1         7         0         0         7         
Vardas453           Pavarde453          10        4         0         1         7         10        
Vardas454           Pavarde454          3         8         1         4         6         0         
Vardas455           Pavarde455          5         8         7         10        9         7         
Vardas456           Pavarde456          3         9         3         5         0         3         
Vardas457           Pavarde457          9         3         7         10        9         1         
Vardas458           Pavarde458          1         9         8         3         8         2         
Vardas459           Pavarde459          5         7         9         4         1         7         
Vardas460           Pavarde460          9         5         0         9         3         8         
Vardas461           Pavarde461          5         1         0         2         6         2         
Vardas462           Pavarde462          7         5         10        0         3         7         
Vardas463           Pavarde463          10        9         3         3         9         7         
Vardas464           Pavarde464          5         4         8         6         8         5         
Vardas465           Pavarde465          4         8         2         1         5         2         
Vardas466           Pavarde466          7         3         2         6         6         0         
Vardas467           Pavarde467          6         8         7         5         9         5         
Vardas468           Pavarde468          4         5         3         9         5         9         
Vardas469           Pavarde469          8         10        3         1         6         3         
Vardas470           Pavarde470          3         9         2         5         2         8         
Vardas471           Pavarde471          3         7         1         10        5         10        
Vardas472           Pavarde472          2         1         1         2         10        10        
Vardas473           Pavarde473          9         7         9         1         8         6         
Vardas474           Pavarde474          9         4         2         8         8         0         
Vardas475           Pavarde475          0         3         10        8         7         1         
Vardas476           Pavarde476          6         0         6         0         10        1         
Vardas477           Pavarde477          3         4         5         3         9         10        
Vardas478           Pavarde478          4         9         10        6         7         6         
Vardas479           Pavarde479          6         1         0         3         8         4         
Vardas480           Pavarde480          0         4         6         9         2         2         
Vardas481           Pavarde481          9         2         3         7         8         0         
Vardas482           Pavarde482          8         6         7         0         4         6         
Vardas483           Pavarde483          0         10        2         8         7         8         
Vardas484           Pavarde484          7         2         4         9         5         10        
Vardas485           Pavarde485          6         5         10        10        10        3         
Vardas486           Pavarde486          10        3         9         5         8         9         
Vardas487           Pavarde487          1         3         0         7         0         9         
Vardas488           Pavarde488          0         8         9         7         10        5         
Vardas489           Pavarde489          4         7         1         10        8         6         
Vardas490           Pavarde490          10        6         4         6         9         3         
Vardas491           Pavarde491          3         8         8         8         5         1         
Vardas492           Pavarde492          10        7         9         0         6         6         
Vardas493           Pavarde493          1         9         7         9         7         6         
Vardas494           Pavarde494          6         2         9         10        5         9         
Vardas495           Pavarde495          7         1         5         1         10        9         
Vardas496           Pavarde496          7         4         5         8         5         10        
Vardas497           Pavarde497          2         1         9         2         1         5         
Vardas498           Pavarde498          8         1         3         9         6         2         
Vardas499           Pavarde499          8         7         9         6         9         2         
Vardas500           Pavarde500          2         4         9         8         2         1         
Vardas501           Pavarde501          10        1         4         1         6         0         
Vardas502           Pavarde502          0         9         1         5         8         6         
Vardas503           Pavarde503          8         7         2         1         10        5         
Vardas504           Pavarde504          7         7         0         3         6         2         
Vardas505           Pavarde505          8         7         8         4         10        7         
Vardas506           Pavarde506          1         7         3         0         7         5         
Vardas507           Pavarde507          9         5         7         9         8         3         
Vardas508           Pavarde508          8         2         1         6         1         6         
Vardas509           Pavarde509          5         7         0         7         5         0         
Vardas510           Pavarde510          9         2         2         4         0         2         
Vardas511           Pavarde511          5         10        0         5         7         6         
Vardas512           Pavarde512          10        4         4         1         0         3         
Vardas513           Pavarde513          6         3         8         2         7         5         
Vardas514           Pavarde514          4         7         8         8         1         2         
Vardas515           Pavarde515          5         4         6         9         2         0         
Vardas516           Pavarde516          3         3         7         9         1         1         
Vardas517           Pavarde517          0         9         3         4         8         1         
Vardas518           Pavarde518          3         6         5         7         9         4         
Vardas519           Pavarde519          9         5         5         7         3         3         
Vardas520           Pavarde520          4         4         6         3         6         6         
Vardas521           Pavarde521          5         3         5         8         6         5         
Vardas522           Pavarde522          9         8         1         1         9         9         
Vardas523           Pavarde523          0         3         9         8         8         10        
Vardas524           Pavarde524          5         6         6         2         10        5         
Vardas525           Pavarde525          7         10        9         8         10        7         
Vardas526           Pavarde526          8         4         7         9         8         6         
Vardas527           Pavarde527          2         0         7         10        9         3         
Vardas528           Pavarde528          1         4         7         5         8         4         
Vardas529           Pavarde529          3         6         4         7         4         5         
Vardas530           Pavarde530          0         1         1         7         3         7         
Vardas531           Pavarde531          4         8         0         4         5         8         
Vardas532           Pavarde532          0         6         6         3         8         8         
Vardas533           Pavarde533          10        7         5         0         6         1         
Vardas534           Pavarde534          9         9         1         9         7         2         
Vardas535           Pavarde535          8         6         10        1         0         5         
