Vardas              Pavarde             Galutinis (Vid.)    Galutinis (Med.)    
Vardas37813         Pavarde37813        0.64                0.80                
Vardas38302         Pavarde38302        0.64                0.40                
Vardas46777         Pavarde46777        0.64                0.40                
Vardas51973         Pavarde51973        0.64                0.40                
Vardas54684         Pavarde54684        0.64                0.80                
Vardas66017         Pavarde66017        0.64                0.40                
Vardas71119         Pavarde71119        0.64                0.40                
Vardas72466         Pavarde72466        0.64                0.40                
Vardas73541         Pavarde73541        0.64                0.80                
Vardas76070         Pavarde76070        0.64                0.00                
Vardas82540         Pavarde82540        0.64                0.40                
Vardas84106         Pavarde84106        0.64                0.40                
Vardas86813         Pavarde86813        0.64                0.40                
Vardas90120         Pavarde90120        0.64                0.40                
Vardas92513         Pavarde92513        0.64                0.40                
Vardas92623         Pavarde92623        0.64                0.40                
Vardas4362          Pavarde4362         0.72                0.40                
Vardas6301          Pavarde6301         0.72                0.40                
Vardas11257         Pavarde11257        0.72                0.40                
Vardas11956         Pavarde11956        0.72                0.80                
Vardas13108         Pavarde13108        0.72                0.80                
Vardas14729         Pavarde14729        0.72                0.40                
Vardas18353         Pavarde18353        0.72                0.80                
Vardas18647         Pavarde18647        0.72                0.80                
Vardas19506         Pavarde19506        0.72                0.80                
Vardas23175         Pavarde23175        0.72                0.40                
Vardas24163         Pavarde24163        0.72                0.40                
Vardas24370         Pavarde24370        0.72                0.80                
Vardas26526         Pavarde26526        0.72                0.80                
Vardas30103         Pavarde30103        0.72                0.80                
Vardas31411         Pavarde31411        0.72                0.40                
Vardas33282         Pavarde33282        0.72                0.40                
Vardas33443         Pavarde33443        0.72                0.80                
Vardas34248         Pavarde34248        0.72                0.40                
Vardas36964         Pavarde36964        0.72                0.80                
Vardas38606         Pavarde38606        0.72                0.80                
Vardas39437         Pavarde39437        0.72                0.40                
Vardas42146         Pavarde42146        0.72                0.80                
Vardas45561         Pavarde45561        0.72                0.40                
Vardas52738         Pavarde52738        0.72                0.80                
Vardas54146         Pavarde54146        0.72                0.40                
Vardas56494         Pavarde56494        0.72                0.40                
Vardas58094         Pavarde58094        0.72                0.80                
Vardas58396         Pavarde58396        0.72                0.80                
Vardas58627         Pavarde58627        0.72                0.40                
Vardas59938         Pavarde59938        0.72                0.80                
Vardas65540         Pavarde65540        0.72                0.80                
Vardas69953         Pavarde69953        0.72                0.80                
Vardas69954         Pavarde69954        0.72                0.40                
Vardas71076         Pavarde71076        0.72                0.80                
Vardas72064         Pavarde72064        0.72                0.80                
Vardas74717         Pavarde74717        0.72                0.40                
Vardas75278         Pavarde75278        0.72                0.40                
Vardas79118         Pavarde79118        0.72                0.40                
Vardas85764         Pavarde85764        0.72                0.40                
Vardas89239         Pavarde89239        0.72                0.40                
Vardas91914         Pavarde91914        0.72                0.80                
Vardas95407         Pavarde95407        0.72                0.80                
Vardas96060         Pavarde96060        0.72                0.40                
Vardas98211         Pavarde98211        0.72                0.40                
Vardas99173         Pavarde99173        0.72                0.00                
Vardas24953         Pavarde24953        0.76                0.60                
Vardas4045          Pavarde4045         0.80                0.80                
Vardas4935          Pavarde4935         0.80                0.40                
Vardas5541          Pavarde5541         0.80                0.40                
Vardas6865          Pavarde6865         0.80                0.40                
Vardas11900         Pavarde11900        0.80                0.40                
Vardas12069         Pavarde12069        0.80                0.80                
Vardas12087         Pavarde12087        0.80                0.80                
Vardas12184         Pavarde12184        0.80                0.80                
Vardas14258         Pavarde14258        0.80                0.40                
Vardas14719         Pavarde14719        0.80                0.80                
Vardas15695         Pavarde15695        0.80                0.80                
Vardas16359         Pavarde16359        0.80                0.00                
Vardas18284         Pavarde18284        0.80                0.80                
Vardas19903         Pavarde19903        0.80                0.40                
Vardas23106         Pavarde23106        0.80                0.80                
Vardas26850         Pavarde26850        0.80                0.40                
Vardas29208         Pavarde29208        0.80                0.40                
Vardas31203         Pavarde31203        0.80                0.80                
Vardas32116         Pavarde32116        0.80                0.40                
Vardas33611         Pavarde33611        0.80                0.80                
Vardas35732         Pavarde35732        0.80                0.80                
Vardas37258         Pavarde37258        0.80                0.80                
Vardas37897         Pavarde37897        0.80                0.80                
Vardas38039         Pavarde38039        0.80                0.40                
Vardas39143         Pavarde39143        0.80                0.40                
Vardas40574         Pavarde40574        0.80                0.40                
Vardas43409         Pavarde43409        0.80                1.20                
Vardas49107         Pavarde49107        0.80                0.40                
Vardas49986         Pavarde49986        0.80                0.40                
Vardas51109         Pavarde51109        0.80                0.40                
Vardas57012         Pavarde57012        0.80                0.00                
Vardas59955         Pavarde59955        0.80                0.40                
Vardas64030         Pavarde64030        0.80                0.80                
Vardas64546         Pavarde64546        0.80                0.00                
Vardas65315         Pavarde65315        0.80                0.80                
Vardas65514         Pavarde65514        0.80                1.20                
Vardas66749         Pavarde66749        0.80                0.40                
Vardas67076         Pavarde67076        0.80                1.20                
Vardas70609         Pavarde70609        0.80                0.40                
Vardas72008         Pavarde72008        0.80                0.40                
Vardas73142         Pavarde73142        0.80                0.80                
Vardas73690         Pavarde73690        0.80                0.40                
Vardas76035         Pavarde76035        0.80                0.80                
Vardas77331         Pavarde77331        0.80                0.80                
Vardas78302         Pavarde78302        0.80                0.80                
Vardas79323         Pavarde79323        0.80                0.40                
Vardas81200         Pavarde81200        0.80                0.80                
Vardas81841         Pavarde81841        0.80                0.40                
Vardas82355         Pavarde82355        0.80                0.40                
Vardas82875         Pavarde82875        0.80                0.80                
Vardas84371         Pavarde84371        0.80                0.40                
Vardas86382         Pavarde86382        0.80                0.80                
Vardas86801         Pavarde86801        0.80                0.40                
Vardas88512         Pavarde88512        0.80                0.00                
Vardas88966         Pavarde88966        0.80                0.40                
Vardas89292         Pavarde89292        0.80                0.40                
Vardas90153         Pavarde90153        0.80                0.00                
Vardas90335         Pavarde90335        0.80                0.00                
Vardas92694         Pavarde92694        0.80                0.80                
Vardas94962         Pavarde94962        0.80                0.80                
Vardas95521         Pavarde95521        0.80                0.00                
Vardas96577         Pavarde96577        0.80                0.80                
Vardas99362         Pavarde99362        0.80                0.40                
Vardas201           Pavarde201          0.88                0.80                
Vardas1372          Pavarde1372         0.88                0.80                
Vardas2518          Pavarde2518         0.88                0.00                
Vardas2911          Pavarde2911         0.88                0.80                
Vardas4413          Pavarde4413         0.88                0.40                
Vardas5033          Pavarde5033         0.88                0.40                
Vardas5533          Pavarde5533         0.88                0.80                
Vardas5901          Pavarde5901         0.88                0.40                
Vardas8734          Pavarde8734         0.88                0.40                
Vardas8864          Pavarde8864         0.88                1.20                
Vardas10955         Pavarde10955        0.88                0.80                
Vardas12425         Pavarde12425        0.88                0.80                
Vardas14095         Pavarde14095        0.88                0.80                
Vardas14302         Pavarde14302        0.88                1.20                
Vardas15632         Pavarde15632        0.88                0.40                
Vardas16655         Pavarde16655        0.88                0.80                
Vardas17809         Pavarde17809        0.88                0.80                
Vardas17825         Pavarde17825        0.88                0.80                
Vardas18164         Pavarde18164        0.88                0.40                
Vardas19322         Pavarde19322        0.88                0.80                
Vardas19325         Pavarde19325        0.88                0.40                
Vardas19999         Pavarde19999        0.88                0.80                
Vardas22792         Pavarde22792        0.88                0.40                
Vardas23185         Pavarde23185        0.88                0.80                
Vardas27788         Pavarde27788        0.88                0.40                
Vardas28458         Pavarde28458        0.88                0.40                
Vardas31354         Pavarde31354        0.88                0.40                
Vardas32110         Pavarde32110        0.88                0.00                
Vardas34484         Pavarde34484        0.88                1.20                
Vardas35397         Pavarde35397        0.88                1.20                
Vardas38398         Pavarde38398        0.88                1.20                
Vardas41233         Pavarde41233        0.88                0.80                
Vardas45874         Pavarde45874        0.88                0.80                
Vardas46209         Pavarde46209        0.88                0.00                
Vardas47025         Pavarde47025        0.88                0.40                
Vardas48628         Pavarde48628        0.88                0.80                
Vardas48850         Pavarde48850        0.88                0.80                
Vardas54005         Pavarde54005        0.88                0.00                
Vardas54536         Pavarde54536        0.88                0.40                
Vardas54920         Pavarde54920        0.88                0.80                
Vardas56805         Pavarde56805        0.88                0.80                
Vardas56882         Pavarde56882        0.88                0.40                
Vardas57439         Pavarde57439        0.88                0.40                
Vardas60525         Pavarde60525        0.88                0.00                
Vardas60715         Pavarde60715        0.88                0.80                
Vardas62101         Pavarde62101        0.88                0.40                
Vardas63394         Pavarde63394        0.88                0.80                
Vardas63965         Pavarde63965        0.88                0.80                
Vardas67572         Pavarde67572        0.88                0.40                
Vardas67668         Pavarde67668        0.88                0.40                
Vardas67699         Pavarde67699        0.88                0.80                
Vardas67882         Pavarde67882        0.88                0.40                
Vardas67993         Pavarde67993        0.88                0.80                
Vardas73390         Pavarde73390        0.88                0.40                
Vardas74068         Pavarde74068        0.88                0.80                
Vardas74205         Pavarde74205        0.88                0.40                
Vardas77385         Pavarde77385        0.88                0.80                
Vardas79350         Pavarde79350        0.88                0.80                
Vardas81973         Pavarde81973        0.88                0.80                
Vardas82849         Pavarde82849        0.88                0.80                
Vardas83426         Pavarde83426        0.88                0.40                
Vardas83671         Pavarde83671        0.88                0.40                
Vardas84921         Pavarde84921        0.88                0.40                
Vardas86424         Pavarde86424        0.88                0.80                
Vardas87201         Pavarde87201        0.88                0.40                
Vardas88477         Pavarde88477        0.88                0.40                
Vardas90505         Pavarde90505        0.88                0.40                
Vardas90797         Pavarde90797        0.88                0.40                
Vardas90929         Pavarde90929        0.88                0.40                
Vardas94996         Pavarde94996        0.88                0.80                
Vardas95187         Pavarde95187        0.88                0.00                
Vardas96857         Pavarde96857        0.88                1.20                
Vardas97458         Pavarde97458        0.88                0.40                
Vardas97959         Pavarde97959        0.88                0.40                
Vardas99106         Pavarde99106        0.88                0.40                
Vardas99295         Pavarde99295        0.88                0.00                
Vardas23065         Pavarde23065        0.92                0.60                
Vardas23289         Pavarde23289        0.92                0.60                
Vardas69792         Pavarde69792        0.92                1.00                
Vardas11            Pavarde11           0.96                0.40                
Vardas897           Pavarde897          0.96                1.20                
Vardas901           Pavarde901          0.96                1.20                
Vardas1014          Pavarde1014         0.96                0.40                
Vardas3089          Pavarde3089         0.96                0.40                
Vardas4588          Pavarde4588         0.96                0.80                
Vardas4886          Pavarde4886         0.96                0.00                
Vardas5232          Pavarde5232         0.96                0.80                
Vardas6150          Pavarde6150         0.96                0.40                
Vardas6318          Pavarde6318         0.96                0.80                
Vardas8661          Pavarde8661         0.96                0.40                
Vardas8781          Pavarde8781         0.96                0.80                
Vardas8862          Pavarde8862         0.96                0.80                
Vardas9541          Pavarde9541         0.96                0.40                
Vardas10938         Pavarde10938        0.96                0.80                
Vardas11150         Pavarde11150        0.96                0.80                
Vardas15351         Pavarde15351        0.96                0.80                
Vardas15590         Pavarde15590        0.96                0.80                
Vardas16295         Pavarde16295        0.96                1.20                
Vardas17180         Pavarde17180        0.96                0.80                
Vardas17521         Pavarde17521        0.96                1.20                
Vardas18059         Pavarde18059        0.96                1.20                
Vardas19150         Pavarde19150        0.96                0.80                
Vardas19326         Pavarde19326        0.96                0.80                
Vardas21919         Pavarde21919        0.96                0.40                
Vardas22328         Pavarde22328        0.96                0.40                
Vardas22890         Pavarde22890        0.96                1.20                
Vardas22919         Pavarde22919        0.96                0.80                
Vardas24880         Pavarde24880        0.96                0.80                
Vardas25842         Pavarde25842        0.96                0.80                
Vardas25849         Pavarde25849        0.96                0.80                
Vardas25896         Pavarde25896        0.96                0.40                
Vardas26530         Pavarde26530        0.96                0.40                
Vardas27489         Pavarde27489        0.96                0.40                
Vardas28524         Pavarde28524        0.96                0.80                
Vardas28536         Pavarde28536        0.96                0.80                
Vardas30482         Pavarde30482        0.96                0.40                
Vardas32692         Pavarde32692        0.96                0.00                
Vardas35019         Pavarde35019        0.96                0.40                
Vardas35474         Pavarde35474        0.96                0.40                
Vardas36762         Pavarde36762        0.96                0.40                
Vardas39883         Pavarde39883        0.96                0.40                
Vardas41553         Pavarde41553        0.96                1.20                
Vardas42714         Pavarde42714        0.96                0.40                
Vardas42919         Pavarde42919        0.96                1.20                
Vardas43694         Pavarde43694        0.96                0.40                
Vardas47600         Pavarde47600        0.96                0.00                
Vardas48103         Pavarde48103        0.96                0.40                
Vardas49374         Pavarde49374        0.96                0.40                
Vardas49619         Pavarde49619        0.96                0.80                
Vardas50164         Pavarde50164        0.96                0.80                
Vardas50398         Pavarde50398        0.96                0.80                
Vardas50949         Pavarde50949        0.96                0.40                
Vardas51520         Pavarde51520        0.96                0.80                
Vardas51717         Pavarde51717        0.96                0.80                
Vardas51923         Pavarde51923        0.96                0.40                
Vardas52135         Pavarde52135        0.96                0.40                
Vardas54806         Pavarde54806        0.96                0.80                
Vardas54917         Pavarde54917        0.96                0.80                
Vardas57234         Pavarde57234        0.96                1.20                
Vardas57564         Pavarde57564        0.96                0.40                
Vardas58233         Pavarde58233        0.96                0.80                
Vardas60106         Pavarde60106        0.96                0.40                
Vardas60732         Pavarde60732        0.96                0.40                
Vardas61006         Pavarde61006        0.96                1.20                
Vardas61056         Pavarde61056        0.96                0.40                
Vardas62160         Pavarde62160        0.96                0.00                
Vardas62199         Pavarde62199        0.96                0.40                
Vardas63648         Pavarde63648        0.96                0.40                
Vardas64739         Pavarde64739        0.96                0.80                
Vardas65427         Pavarde65427        0.96                0.80                
Vardas66549         Pavarde66549        0.96                0.80                
Vardas66971         Pavarde66971        0.96                0.40                
Vardas67908         Pavarde67908        0.96                0.80                
Vardas67972         Pavarde67972        0.96                0.80                
Vardas68710         Pavarde68710        0.96                0.40                
Vardas69109         Pavarde69109        0.96                0.40                
Vardas73118         Pavarde73118        0.96                0.00                
Vardas73269         Pavarde73269        0.96                0.80                
Vardas77311         Pavarde77311        0.96                0.40                
Vardas77449         Pavarde77449        0.96                1.20                
Vardas78936         Pavarde78936        0.96                0.80                
Vardas79268         Pavarde79268        0.96                0.40                
Vardas80689         Pavarde80689        0.96                1.20                
Vardas81868         Pavarde81868        0.96                0.80                
Vardas82539         Pavarde82539        0.96                0.00                
Vardas83105         Pavarde83105        0.96                1.20                
Vardas83447         Pavarde83447        0.96                0.80                
Vardas84496         Pavarde84496        0.96                0.40                
Vardas87607         Pavarde87607        0.96                0.40                
Vardas89240         Pavarde89240        0.96                0.80                
Vardas90457         Pavarde90457        0.96                1.20                
Vardas91235         Pavarde91235        0.96                0.80                
Vardas92563         Pavarde92563        0.96                0.40                
Vardas93379         Pavarde93379        0.96                0.40                
Vardas93543         Pavarde93543        0.96                0.80                
Vardas94220         Pavarde94220        0.96                1.20                
Vardas94666         Pavarde94666        0.96                0.80                
Vardas95298         Pavarde95298        0.96                0.80                
Vardas97859         Pavarde97859        0.96                0.40                
Vardas98657         Pavarde98657        0.96                1.20                
Vardas8342          Pavarde8342         1.00                1.00                
Vardas28110         Pavarde28110        1.00                1.00                
Vardas34804         Pavarde34804        1.00                0.60                
Vardas71148         Pavarde71148        1.00                0.60                
Vardas462           Pavarde462          1.04                0.40                
Vardas1316          Pavarde1316         1.04                1.60                
Vardas1786          Pavarde1786         1.04                0.40                
Vardas3233          Pavarde3233         1.04                0.80                
Vardas3246          Pavarde3246         1.04                0.00                
Vardas3382          Pavarde3382         1.04                1.60                
Vardas3811          Pavarde3811         1.04                0.80                
Vardas3820          Pavarde3820         1.04                0.80                
Vardas4878          Pavarde4878         1.04                0.80                
Vardas5107          Pavarde5107         1.04                1.20                
Vardas6343          Pavarde6343         1.04                1.20                
Vardas7039          Pavarde7039         1.04                0.80                
Vardas7852          Pavarde7852         1.04                0.80                
Vardas8657          Pavarde8657         1.04                0.80                
Vardas8782          Pavarde8782         1.04                0.80                
Vardas8787          Pavarde8787         1.04                0.40                
Vardas9328          Pavarde9328         1.04                0.80                
Vardas9577          Pavarde9577         1.04                1.20                
Vardas9767          Pavarde9767         1.04                0.80                
Vardas9826          Pavarde9826         1.04                0.40                
Vardas9863          Pavarde9863         1.04                1.60                
Vardas10058         Pavarde10058        1.04                0.40                
Vardas11340         Pavarde11340        1.04                0.80                
Vardas12314         Pavarde12314        1.04                1.20                
Vardas12327         Pavarde12327        1.04                1.20                
Vardas13496         Pavarde13496        1.04                0.40                
Vardas14100         Pavarde14100        1.04                0.40                
Vardas14317         Pavarde14317        1.04                0.80                
Vardas14379         Pavarde14379        1.04                0.80                
Vardas14987         Pavarde14987        1.04                0.40                
Vardas18079         Pavarde18079        1.04                0.80                
Vardas20493         Pavarde20493        1.04                1.20                
Vardas21275         Pavarde21275        1.04                0.40                
Vardas21446         Pavarde21446        1.04                0.80                
Vardas21746         Pavarde21746        1.04                1.20                
Vardas23722         Pavarde23722        1.04                0.80                
Vardas24942         Pavarde24942        1.04                0.80                
Vardas25123         Pavarde25123        1.04                0.80                
Vardas25413         Pavarde25413        1.04                0.00                
Vardas25911         Pavarde25911        1.04                0.80                
Vardas26180         Pavarde26180        1.04                0.80                
Vardas26374         Pavarde26374        1.04                0.40                
Vardas27357         Pavarde27357        1.04                0.40                
Vardas27650         Pavarde27650        1.04                1.20                
Vardas28085         Pavarde28085        1.04                0.40                
Vardas28790         Pavarde28790        1.04                1.20                
Vardas30353         Pavarde30353        1.04                1.20                
Vardas31265         Pavarde31265        1.04                0.40                
Vardas31312         Pavarde31312        1.04                1.20                
Vardas31830         Pavarde31830        1.04                1.20                
Vardas32015         Pavarde32015        1.04                0.80                
Vardas35235         Pavarde35235        1.04                0.80                
Vardas35427         Pavarde35427        1.04                1.20                
Vardas35740         Pavarde35740        1.04                0.40                
Vardas35797         Pavarde35797        1.04                0.40                
Vardas38456         Pavarde38456        1.04                0.80                
Vardas38520         Pavarde38520        1.04                0.80                
Vardas39471         Pavarde39471        1.04                0.80                
Vardas40376         Pavarde40376        1.04                1.20                
Vardas40668         Pavarde40668        1.04                1.20                
Vardas41185         Pavarde41185        1.04                1.20                
Vardas41330         Pavarde41330        1.04                0.40                
Vardas41532         Pavarde41532        1.04                1.20                
Vardas41635         Pavarde41635        1.04                0.40                
Vardas41925         Pavarde41925        1.04                0.80                
Vardas43403         Pavarde43403        1.04                1.20                
Vardas44290         Pavarde44290        1.04                0.40                
Vardas44478         Pavarde44478        1.04                0.80                
Vardas44892         Pavarde44892        1.04                0.80                
Vardas45361         Pavarde45361        1.04                0.80                
Vardas46388         Pavarde46388        1.04                1.20                
Vardas46594         Pavarde46594        1.04                0.40                
Vardas47813         Pavarde47813        1.04                0.80                
Vardas47970         Pavarde47970        1.04                0.40                
Vardas50059         Pavarde50059        1.04                0.40                
Vardas50414         Pavarde50414        1.04                1.20                
Vardas51990         Pavarde51990        1.04                1.20                
Vardas52636         Pavarde52636        1.04                0.40                
Vardas54052         Pavarde54052        1.04                0.80                
Vardas55330         Pavarde55330        1.04                0.80                
Vardas55583         Pavarde55583        1.04                0.80                
Vardas56196         Pavarde56196        1.04                0.80                
Vardas58023         Pavarde58023        1.04                0.40                
Vardas58448         Pavarde58448        1.04                1.20                
Vardas58740         Pavarde58740        1.04                0.80                
Vardas59302         Pavarde59302        1.04                0.40                
Vardas59998         Pavarde59998        1.04                0.80                
Vardas60122         Pavarde60122        1.04                0.40                
Vardas61633         Pavarde61633        1.04                0.40                
Vardas61636         Pavarde61636        1.04                0.80                
Vardas61724         Pavarde61724        1.04                0.40                
Vardas62591         Pavarde62591        1.04                0.80                
Vardas64332         Pavarde64332        1.04                0.40                
Vardas64685         Pavarde64685        1.04                0.40                
Vardas65334         Pavarde65334        1.04                0.40                
Vardas65867         Pavarde65867        1.04                0.80                
Vardas65903         Pavarde65903        1.04                0.80                
Vardas66055         Pavarde66055        1.04                0.80                
Vardas66145         Pavarde66145        1.04                0.40                
Vardas69507         Pavarde69507        1.04                1.20                
Vardas70195         Pavarde70195        1.04                0.80                
Vardas70256         Pavarde70256        1.04                0.80                
Vardas70607         Pavarde70607        1.04                0.80                
Vardas71105         Pavarde71105        1.04                1.20                
Vardas71491         Pavarde71491        1.04                0.80                
Vardas73375         Pavarde73375        1.04                0.40                
Vardas73478         Pavarde73478        1.04                1.20                
Vardas73611         Pavarde73611        1.04                0.40                
Vardas75658         Pavarde75658        1.04                0.00                
Vardas76765         Pavarde76765        1.04                0.80                
Vardas78098         Pavarde78098        1.04                0.80                
Vardas78649         Pavarde78649        1.04                0.40                
Vardas78767         Pavarde78767        1.04                1.20                
Vardas79054         Pavarde79054        1.04                0.80                
Vardas79605         Pavarde79605        1.04                0.80                
Vardas80889         Pavarde80889        1.04                0.80                
Vardas80968         Pavarde80968        1.04                0.80                
Vardas81321         Pavarde81321        1.04                1.20                
Vardas81418         Pavarde81418        1.04                0.80                
Vardas82011         Pavarde82011        1.04                0.80                
Vardas82442         Pavarde82442        1.04                1.20                
Vardas83265         Pavarde83265        1.04                0.80                
Vardas83875         Pavarde83875        1.04                0.80                
Vardas85246         Pavarde85246        1.04                0.80                
Vardas85268         Pavarde85268        1.04                0.00                
Vardas85634         Pavarde85634        1.04                0.40                
Vardas85885         Pavarde85885        1.04                0.40                
Vardas86641         Pavarde86641        1.04                0.80                
Vardas88132         Pavarde88132        1.04                0.80                
Vardas88346         Pavarde88346        1.04                0.80                
Vardas89793         Pavarde89793        1.04                0.80                
Vardas89961         Pavarde89961        1.04                1.20                
Vardas90463         Pavarde90463        1.04                0.80                
Vardas90672         Pavarde90672        1.04                0.40                
Vardas90737         Pavarde90737        1.04                0.00                
Vardas90974         Pavarde90974        1.04                0.40                
Vardas91075         Pavarde91075        1.04                0.80                
Vardas92965         Pavarde92965        1.04                0.80                
Vardas93478         Pavarde93478        1.04                0.80                
Vardas96214         Pavarde96214        1.04                1.20                
Vardas96798         Pavarde96798        1.04                1.20                
Vardas97575         Pavarde97575        1.04                0.80                
Vardas98108         Pavarde98108        1.04                1.20                
Vardas98470         Pavarde98470        1.04                1.60                
Vardas98984         Pavarde98984        1.04                0.40                
Vardas99895         Pavarde99895        1.04                0.80                
Vardas827           Pavarde827          1.08                1.00                
Vardas13489         Pavarde13489        1.08                0.60                
Vardas15970         Pavarde15970        1.08                1.00                
Vardas23508         Pavarde23508        1.08                0.60                
Vardas44004         Pavarde44004        1.08                1.00                
Vardas47234         Pavarde47234        1.08                1.00                
Vardas47683         Pavarde47683        1.08                1.00                
Vardas50096         Pavarde50096        1.08                1.40                
Vardas60845         Pavarde60845        1.08                1.00                
Vardas62392         Pavarde62392        1.08                1.40                
Vardas63196         Pavarde63196        1.08                1.00                
Vardas68471         Pavarde68471        1.08                1.00                
Vardas80151         Pavarde80151        1.08                0.60                
Vardas86649         Pavarde86649        1.08                1.00                
Vardas89920         Pavarde89920        1.08                1.00                
Vardas248           Pavarde248          1.12                0.40                
Vardas771           Pavarde771          1.12                0.80                
Vardas1070          Pavarde1070         1.12                0.40                
Vardas2151          Pavarde2151         1.12                1.20                
Vardas2286          Pavarde2286         1.12                1.20                
Vardas2420          Pavarde2420         1.12                0.40                
Vardas2659          Pavarde2659         1.12                0.40                
Vardas3030          Pavarde3030         1.12                1.20                
Vardas3408          Pavarde3408         1.12                0.80                
Vardas5457          Pavarde5457         1.12                0.40                
Vardas6962          Pavarde6962         1.12                1.20                
Vardas6979          Pavarde6979         1.12                1.20                
Vardas6993          Pavarde6993         1.12                0.80                
Vardas7515          Pavarde7515         1.12                0.80                
Vardas8239          Pavarde8239         1.12                0.80                
Vardas8934          Pavarde8934         1.12                1.20                
Vardas9319          Pavarde9319         1.12                1.60                
Vardas9371          Pavarde9371         1.12                1.20                
Vardas9379          Pavarde9379         1.12                1.20                
Vardas9410          Pavarde9410         1.12                0.80                
Vardas9681          Pavarde9681         1.12                0.80                
Vardas9701          Pavarde9701         1.12                0.00                
Vardas9805          Pavarde9805         1.12                0.80                
Vardas10084         Pavarde10084        1.12                1.20                
Vardas11955         Pavarde11955        1.12                1.20                
Vardas11966         Pavarde11966        1.12                0.40                
Vardas12522         Pavarde12522        1.12                1.20                
Vardas13011         Pavarde13011        1.12                0.40                
Vardas13609         Pavarde13609        1.12                0.80                
Vardas14020         Pavarde14020        1.12                1.20                
Vardas14339         Pavarde14339        1.12                1.20                
Vardas14616         Pavarde14616        1.12                0.80                
Vardas15984         Pavarde15984        1.12                0.80                
Vardas17091         Pavarde17091        1.12                1.60                
Vardas17107         Pavarde17107        1.12                0.80                
Vardas19378         Pavarde19378        1.12                0.40                
Vardas19418         Pavarde19418        1.12                0.80                
Vardas19446         Pavarde19446        1.12                0.80                
Vardas19555         Pavarde19555        1.12                1.20                
Vardas21407         Pavarde21407        1.12                0.80                
Vardas23000         Pavarde23000        1.12                0.80                
Vardas23164         Pavarde23164        1.12                0.80                
Vardas23796         Pavarde23796        1.12                0.80                
Vardas24700         Pavarde24700        1.12                0.80                
