Vardas              Pavarde             Galutinis (Vid.)    Galutinis (Med.)    
Vardas9788          Pavarde9788         5.00                5.00                
Vardas9861          Pavarde9861         5.00                4.60                
Vardas9974          Pavarde9974         5.00                5.40                
Vardas10060         Pavarde10060        5.00                4.60                
Vardas10222         Pavarde10222        5.00                4.60                
Vardas10230         Pavarde10230        5.00                5.40                
Vardas10310         Pavarde10310        5.00                4.60                
Vardas10496         Pavarde10496        5.00                4.60                
Vardas10772         Pavarde10772        5.00                5.40                
Vardas10847         Pavarde10847        5.00                5.40                
Vardas11027         Pavarde11027        5.00                5.80                
Vardas11101         Pavarde11101        5.00                4.60                
Vardas11309         Pavarde11309        5.00                4.60                
Vardas11511         Pavarde11511        5.00                5.00                
Vardas11808         Pavarde11808        5.00                5.00                
Vardas12072         Pavarde12072        5.00                5.40                
Vardas12446         Pavarde12446        5.00                5.00                
Vardas12804         Pavarde12804        5.00                5.40                
Vardas13034         Pavarde13034        5.00                5.40                
Vardas13091         Pavarde13091        5.00                5.00                
Vardas13179         Pavarde13179        5.00                4.20                
Vardas13444         Pavarde13444        5.00                4.60                
Vardas13480         Pavarde13480        5.00                5.00                
Vardas13536         Pavarde13536        5.00                5.00                
Vardas13582         Pavarde13582        5.00                5.00                
Vardas13597         Pavarde13597        5.00                5.40                
Vardas14627         Pavarde14627        5.00                5.40                
Vardas14793         Pavarde14793        5.00                5.00                
Vardas14842         Pavarde14842        5.00                5.40                
Vardas14934         Pavarde14934        5.00                4.60                
Vardas14954         Pavarde14954        5.00                5.00                
Vardas15030         Pavarde15030        5.00                5.00                
Vardas15142         Pavarde15142        5.00                5.40                
Vardas15299         Pavarde15299        5.00                4.60                
Vardas15386         Pavarde15386        5.00                4.60                
Vardas15637         Pavarde15637        5.00                5.00                
Vardas15857         Pavarde15857        5.00                5.40                
Vardas15963         Pavarde15963        5.00                5.00                
Vardas16084         Pavarde16084        5.00                5.40                
Vardas16241         Pavarde16241        5.00                5.00                
Vardas16546         Pavarde16546        5.00                5.00                
Vardas16552         Pavarde16552        5.00                4.20                
Vardas16641         Pavarde16641        5.00                5.00                
Vardas16697         Pavarde16697        5.00                5.00                
Vardas16758         Pavarde16758        5.00                4.60                
Vardas16819         Pavarde16819        5.00                4.60                
Vardas16834         Pavarde16834        5.00                5.00                
Vardas16870         Pavarde16870        5.00                5.00                
Vardas16899         Pavarde16899        5.00                5.00                
Vardas17071         Pavarde17071        5.00                5.40                
Vardas17084         Pavarde17084        5.00                5.00                
Vardas17434         Pavarde17434        5.00                5.00                
Vardas17630         Pavarde17630        5.00                5.00                
Vardas17634         Pavarde17634        5.00                5.40                
Vardas18090         Pavarde18090        5.00                5.00                
Vardas18318         Pavarde18318        5.00                5.00                
Vardas18879         Pavarde18879        5.00                5.00                
Vardas19569         Pavarde19569        5.00                5.80                
Vardas19715         Pavarde19715        5.00                5.00                
Vardas19752         Pavarde19752        5.00                5.40                
Vardas19767         Pavarde19767        5.00                4.60                
Vardas19981         Pavarde19981        5.00                5.00                
Vardas20259         Pavarde20259        5.00                5.00                
Vardas20404         Pavarde20404        5.00                4.20                
Vardas20615         Pavarde20615        5.00                5.00                
Vardas20646         Pavarde20646        5.00                5.00                
Vardas20691         Pavarde20691        5.00                4.20                
Vardas20744         Pavarde20744        5.00                5.00                
Vardas20774         Pavarde20774        5.00                4.60                
Vardas20947         Pavarde20947        5.00                6.20                
Vardas20964         Pavarde20964        5.00                5.80                
Vardas21111         Pavarde21111        5.00                5.00                
Vardas21311         Pavarde21311        5.00                5.40                
Vardas21423         Pavarde21423        5.00                5.00                
Vardas21565         Pavarde21565        5.00                5.00                
Vardas21739         Pavarde21739        5.00                4.60                
Vardas22007         Pavarde22007        5.00                4.60                
Vardas22267         Pavarde22267        5.00                4.20                
Vardas22345         Pavarde22345        5.00                4.60                
Vardas22398         Pavarde22398        5.00                4.20                
Vardas22421         Pavarde22421        5.00                5.00                
Vardas22761         Pavarde22761        5.00                5.00                
Vardas22794         Pavarde22794        5.00                4.20                
Vardas22921         Pavarde22921        5.00                5.40                
Vardas23026         Pavarde23026        5.00                5.80                
Vardas23028         Pavarde23028        5.00                5.00                
Vardas23212         Pavarde23212        5.00                5.00                
Vardas23562         Pavarde23562        5.00                5.00                
Vardas23713         Pavarde23713        5.00                5.40                
Vardas24092         Pavarde24092        5.00                4.60                
Vardas24133         Pavarde24133        5.00                5.00                
Vardas24568         Pavarde24568        5.00                5.00                
Vardas25213         Pavarde25213        5.00                5.00                
Vardas25266         Pavarde25266        5.00                5.00                
Vardas25491         Pavarde25491        5.00                5.40                
Vardas25907         Pavarde25907        5.00                4.60                
Vardas25972         Pavarde25972        5.00                5.00                
Vardas26299         Pavarde26299        5.00                5.00                
Vardas26361         Pavarde26361        5.00                4.60                
Vardas26623         Pavarde26623        5.00                5.80                
Vardas27000         Pavarde27000        5.00                5.00                
Vardas27301         Pavarde27301        5.00                5.00                
Vardas27475         Pavarde27475        5.00                4.20                
Vardas27607         Pavarde27607        5.00                5.00                
Vardas27782         Pavarde27782        5.00                5.00                
Vardas28063         Pavarde28063        5.00                5.00                
Vardas28474         Pavarde28474        5.00                5.40                
Vardas28527         Pavarde28527        5.00                5.00                
Vardas28693         Pavarde28693        5.00                5.00                
Vardas28814         Pavarde28814        5.00                4.60                
Vardas28821         Pavarde28821        5.00                5.40                
Vardas28998         Pavarde28998        5.00                4.20                
Vardas29116         Pavarde29116        5.00                5.80                
Vardas29207         Pavarde29207        5.00                4.60                
Vardas29213         Pavarde29213        5.00                5.00                
Vardas29228         Pavarde29228        5.00                4.60                
Vardas29229         Pavarde29229        5.00                5.00                
Vardas29376         Pavarde29376        5.00                4.60                
Vardas29409         Pavarde29409        5.00                3.80                
Vardas30215         Pavarde30215        5.00                5.00                
Vardas30311         Pavarde30311        5.00                5.40                
Vardas30403         Pavarde30403        5.00                5.40                
Vardas30625         Pavarde30625        5.00                5.40                
Vardas30679         Pavarde30679        5.00                5.00                
Vardas30974         Pavarde30974        5.00                4.60                
Vardas31239         Pavarde31239        5.00                5.00                
Vardas31693         Pavarde31693        5.00                5.00                
Vardas31748         Pavarde31748        5.00                5.00                
Vardas31761         Pavarde31761        5.00                5.80                
Vardas31828         Pavarde31828        5.00                5.00                
Vardas31854         Pavarde31854        5.00                5.00                
Vardas31980         Pavarde31980        5.00                5.00                
Vardas32072         Pavarde32072        5.00                4.60                
Vardas32083         Pavarde32083        5.00                5.00                
Vardas32264         Pavarde32264        5.00                5.00                
Vardas32324         Pavarde32324        5.00                5.00                
Vardas32514         Pavarde32514        5.00                5.00                
Vardas32534         Pavarde32534        5.00                4.20                
Vardas32717         Pavarde32717        5.00                5.00                
Vardas32801         Pavarde32801        5.00                4.60                
Vardas33049         Pavarde33049        5.00                5.00                
Vardas33062         Pavarde33062        5.00                4.60                
Vardas33134         Pavarde33134        5.00                4.60                
Vardas33173         Pavarde33173        5.00                4.20                
Vardas33252         Pavarde33252        5.00                5.00                
Vardas33445         Pavarde33445        5.00                5.00                
Vardas33709         Pavarde33709        5.00                5.00                
Vardas34046         Pavarde34046        5.00                5.00                
Vardas34048         Pavarde34048        5.00                4.60                
Vardas34797         Pavarde34797        5.00                5.00                
Vardas34809         Pavarde34809        5.00                5.00                
Vardas34831         Pavarde34831        5.00                4.60                
Vardas34896         Pavarde34896        5.00                5.00                
Vardas35061         Pavarde35061        5.00                5.40                
Vardas35173         Pavarde35173        5.00                4.20                
Vardas35421         Pavarde35421        5.00                5.00                
Vardas35512         Pavarde35512        5.00                5.00                
Vardas35666         Pavarde35666        5.00                5.40                
Vardas35855         Pavarde35855        5.00                4.60                
Vardas35956         Pavarde35956        5.00                5.00                
Vardas36253         Pavarde36253        5.00                4.20                
Vardas36567         Pavarde36567        5.00                5.40                
Vardas36737         Pavarde36737        5.00                5.40                
Vardas36745         Pavarde36745        5.00                5.40                
Vardas36746         Pavarde36746        5.00                5.40                
Vardas36901         Pavarde36901        5.00                5.00                
Vardas37352         Pavarde37352        5.00                4.60                
Vardas37483         Pavarde37483        5.00                5.80                
Vardas37553         Pavarde37553        5.00                5.00                
Vardas37883         Pavarde37883        5.00                5.00                
Vardas38493         Pavarde38493        5.00                5.40                
Vardas38535         Pavarde38535        5.00                4.20                
Vardas38746         Pavarde38746        5.00                4.60                
Vardas39094         Pavarde39094        5.00                5.00                
Vardas39185         Pavarde39185        5.00                4.60                
Vardas39332         Pavarde39332        5.00                5.40                
Vardas39447         Pavarde39447        5.00                5.00                
Vardas39831         Pavarde39831        5.00                5.00                
Vardas40153         Pavarde40153        5.00                5.40                
Vardas40367         Pavarde40367        5.00                4.60                
Vardas40686         Pavarde40686        5.00                4.60                
Vardas40716         Pavarde40716        5.00                4.60                
Vardas41116         Pavarde41116        5.00                5.00                
Vardas41184         Pavarde41184        5.00                5.00                
Vardas41234         Pavarde41234        5.00                4.20                
Vardas41259         Pavarde41259        5.00                5.40                
Vardas41284         Pavarde41284        5.00                5.40                
Vardas41569         Pavarde41569        5.00                4.60                
Vardas41747         Pavarde41747        5.00                5.80                
Vardas42183         Pavarde42183        5.00                6.20                
Vardas42289         Pavarde42289        5.00                5.00                
Vardas42569         Pavarde42569        5.00                5.00                
Vardas42823         Pavarde42823        5.00                4.60                
Vardas43049         Pavarde43049        5.00                5.00                
Vardas43567         Pavarde43567        5.00                5.00                
Vardas43638         Pavarde43638        5.00                5.80                
Vardas44097         Pavarde44097        5.00                5.40                
Vardas44203         Pavarde44203        5.00                4.60                
Vardas44285         Pavarde44285        5.00                5.00                
Vardas44346         Pavarde44346        5.00                4.20                
Vardas44405         Pavarde44405        5.00                5.00                
Vardas44416         Pavarde44416        5.00                5.00                
Vardas44504         Pavarde44504        5.00                4.20                
Vardas44612         Pavarde44612        5.00                4.60                
Vardas44693         Pavarde44693        5.00                5.00                
Vardas44827         Pavarde44827        5.00                5.00                
Vardas44961         Pavarde44961        5.00                5.00                
Vardas45488         Pavarde45488        5.00                4.60                
Vardas46012         Pavarde46012        5.00                4.60                
Vardas46190         Pavarde46190        5.00                5.00                
Vardas46587         Pavarde46587        5.00                5.00                
Vardas46597         Pavarde46597        5.00                5.40                
Vardas47057         Pavarde47057        5.00                5.80                
Vardas47428         Pavarde47428        5.00                5.40                
Vardas47640         Pavarde47640        5.00                4.20                
Vardas47720         Pavarde47720        5.00                5.00                
Vardas47876         Pavarde47876        5.00                5.80                
Vardas48344         Pavarde48344        5.00                5.40                
Vardas48460         Pavarde48460        5.00                5.40                
Vardas48670         Pavarde48670        5.00                5.00                
Vardas48727         Pavarde48727        5.00                5.40                
Vardas48777         Pavarde48777        5.00                4.60                
Vardas48799         Pavarde48799        5.00                5.00                
Vardas48979         Pavarde48979        5.00                5.80                
Vardas48993         Pavarde48993        5.00                4.60                
Vardas49250         Pavarde49250        5.00                4.20                
Vardas49310         Pavarde49310        5.00                4.20                
Vardas49578         Pavarde49578        5.00                5.00                
Vardas49594         Pavarde49594        5.00                5.00                
Vardas49616         Pavarde49616        5.00                4.60                
Vardas49698         Pavarde49698        5.00                5.40                
Vardas49743         Pavarde49743        5.00                5.00                
Vardas49984         Pavarde49984        5.00                4.60                
Vardas50204         Pavarde50204        5.00                5.40                
Vardas50415         Pavarde50415        5.00                4.60                
Vardas50496         Pavarde50496        5.00                5.40                
Vardas50553         Pavarde50553        5.00                4.60                
Vardas50622         Pavarde50622        5.00                4.20                
Vardas50788         Pavarde50788        5.00                5.40                
Vardas50866         Pavarde50866        5.00                4.60                
Vardas51355         Pavarde51355        5.00                5.00                
Vardas51425         Pavarde51425        5.00                5.00                
Vardas51479         Pavarde51479        5.00                5.00                
Vardas51557         Pavarde51557        5.00                5.00                
Vardas51724         Pavarde51724        5.00                4.60                
Vardas51763         Pavarde51763        5.00                5.00                
Vardas51781         Pavarde51781        5.00                4.60                
Vardas51899         Pavarde51899        5.00                5.00                
Vardas52002         Pavarde52002        5.00                5.00                
Vardas52318         Pavarde52318        5.00                5.00                
Vardas52356         Pavarde52356        5.00                5.00                
Vardas52426         Pavarde52426        5.00                5.00                
Vardas52482         Pavarde52482        5.00                5.00                
Vardas52498         Pavarde52498        5.00                5.40                
Vardas53028         Pavarde53028        5.00                5.00                
Vardas53385         Pavarde53385        5.00                5.00                
Vardas53771         Pavarde53771        5.00                4.60                
Vardas53842         Pavarde53842        5.00                4.60                
Vardas53913         Pavarde53913        5.00                5.40                
Vardas54037         Pavarde54037        5.00                4.60                
Vardas54392         Pavarde54392        5.00                5.00                
Vardas54423         Pavarde54423        5.00                5.00                
Vardas54996         Pavarde54996        5.00                5.40                
Vardas55003         Pavarde55003        5.00                5.00                
Vardas55027         Pavarde55027        5.00                5.00                
Vardas55178         Pavarde55178        5.00                5.40                
Vardas55200         Pavarde55200        5.00                5.00                
Vardas55392         Pavarde55392        5.00                5.40                
Vardas55547         Pavarde55547        5.00                4.60                
Vardas55926         Pavarde55926        5.00                4.60                
Vardas55953         Pavarde55953        5.00                4.60                
Vardas56092         Pavarde56092        5.00                4.20                
Vardas56407         Pavarde56407        5.00                4.60                
Vardas56702         Pavarde56702        5.00                4.60                
Vardas56724         Pavarde56724        5.00                5.00                
Vardas57061         Pavarde57061        5.00                5.40                
Vardas57138         Pavarde57138        5.00                4.60                
Vardas57278         Pavarde57278        5.00                5.40                
Vardas57368         Pavarde57368        5.00                5.00                
Vardas57377         Pavarde57377        5.00                5.80                
Vardas57418         Pavarde57418        5.00                5.00                
Vardas57691         Pavarde57691        5.00                5.40                
Vardas57905         Pavarde57905        5.00                5.00                
Vardas58196         Pavarde58196        5.00                5.40                
Vardas58224         Pavarde58224        5.00                5.40                
Vardas58429         Pavarde58429        5.00                5.00                
Vardas58460         Pavarde58460        5.00                5.00                
Vardas58472         Pavarde58472        5.00                5.00                
Vardas58602         Pavarde58602        5.00                4.60                
Vardas58608         Pavarde58608        5.00                5.00                
Vardas58661         Pavarde58661        5.00                5.00                
Vardas58827         Pavarde58827        5.00                5.00                
Vardas59285         Pavarde59285        5.00                5.00                
Vardas59451         Pavarde59451        5.00                5.00                
Vardas59657         Pavarde59657        5.00                4.60                
Vardas59699         Pavarde59699        5.00                5.40                
Vardas59785         Pavarde59785        5.00                5.00                
Vardas60417         Pavarde60417        5.00                4.60                
Vardas60536         Pavarde60536        5.00                5.40                
Vardas60798         Pavarde60798        5.00                4.60                
Vardas60809         Pavarde60809        5.00                4.60                
Vardas60822         Pavarde60822        5.00                5.00                
Vardas61067         Pavarde61067        5.00                5.40                
Vardas61359         Pavarde61359        5.00                5.00                
Vardas61433         Pavarde61433        5.00                4.60                
Vardas61786         Pavarde61786        5.00                5.00                
Vardas61959         Pavarde61959        5.00                5.00                
Vardas62104         Pavarde62104        5.00                4.60                
Vardas62170         Pavarde62170        5.00                5.00                
Vardas62762         Pavarde62762        5.00                4.60                
Vardas62937         Pavarde62937        5.00                5.80                
Vardas63163         Pavarde63163        5.00                4.60                
Vardas63813         Pavarde63813        5.00                4.60                
Vardas63871         Pavarde63871        5.00                4.20                
Vardas63950         Pavarde63950        5.00                5.40                
Vardas64208         Pavarde64208        5.00                5.00                
Vardas64232         Pavarde64232        5.00                5.40                
Vardas64240         Pavarde64240        5.00                5.00                
Vardas64315         Pavarde64315        5.00                5.40                
Vardas64385         Pavarde64385        5.00                4.20                
Vardas64398         Pavarde64398        5.00                5.00                
Vardas64598         Pavarde64598        5.00                5.00                
Vardas64763         Pavarde64763        5.00                5.00                
Vardas64801         Pavarde64801        5.00                5.00                
Vardas64957         Pavarde64957        5.00                4.20                
Vardas65030         Pavarde65030        5.00                4.60                
Vardas65075         Pavarde65075        5.00                5.00                
Vardas65329         Pavarde65329        5.00                5.00                
Vardas65517         Pavarde65517        5.00                5.00                
Vardas65606         Pavarde65606        5.00                4.60                
Vardas65940         Pavarde65940        5.00                4.60                
Vardas66349         Pavarde66349        5.00                5.00                
Vardas66380         Pavarde66380        5.00                5.40                
Vardas66389         Pavarde66389        5.00                4.60                
Vardas66463         Pavarde66463        5.00                5.00                
Vardas67364         Pavarde67364        5.00                4.60                
Vardas67490         Pavarde67490        5.00                5.00                
Vardas67526         Pavarde67526        5.00                5.00                
Vardas67594         Pavarde67594        5.00                5.40                
Vardas67679         Pavarde67679        5.00                4.60                
Vardas67828         Pavarde67828        5.00                4.60                
Vardas67864         Pavarde67864        5.00                5.00                
Vardas67978         Pavarde67978        5.00                5.00                
Vardas68002         Pavarde68002        5.00                5.00                
Vardas68017         Pavarde68017        5.00                4.60                
Vardas68020         Pavarde68020        5.00                5.00                
Vardas68242         Pavarde68242        5.00                5.00                
Vardas68434         Pavarde68434        5.00                5.00                
Vardas68451         Pavarde68451        5.00                5.40                
Vardas68484         Pavarde68484        5.00                4.20                
Vardas68632         Pavarde68632        5.00                3.80                
Vardas68708         Pavarde68708        5.00                5.40                
Vardas68744         Pavarde68744        5.00                4.60                
Vardas68752         Pavarde68752        5.00                5.00                
Vardas68869         Pavarde68869        5.00                5.00                
Vardas69156         Pavarde69156        5.00                4.60                
Vardas69290         Pavarde69290        5.00                5.00                
Vardas69492         Pavarde69492        5.00                5.80                
Vardas69731         Pavarde69731        5.00                4.60                
Vardas70092         Pavarde70092        5.00                4.60                
Vardas70113         Pavarde70113        5.00                5.80                
Vardas70486         Pavarde70486        5.00                5.00                
Vardas70572         Pavarde70572        5.00                5.00                
Vardas70682         Pavarde70682        5.00                5.40                
Vardas70774         Pavarde70774        5.00                4.60                
Vardas70956         Pavarde70956        5.00                5.40                
Vardas70982         Pavarde70982        5.00                5.80                
Vardas71336         Pavarde71336        5.00                5.80                
Vardas71414         Pavarde71414        5.00                5.40                
Vardas71507         Pavarde71507        5.00                4.20                
Vardas71543         Pavarde71543        5.00                4.60                
Vardas71559         Pavarde71559        5.00                5.40                
Vardas71598         Pavarde71598        5.00                5.00                
Vardas71682         Pavarde71682        5.00                5.00                
Vardas72385         Pavarde72385        5.00                4.60                
Vardas72510         Pavarde72510        5.00                5.00                
Vardas72531         Pavarde72531        5.00                5.80                
Vardas72536         Pavarde72536        5.00                5.40                
Vardas72633         Pavarde72633        5.00                5.00                
Vardas72856         Pavarde72856        5.00                3.80                
Vardas72889         Pavarde72889        5.00                5.40                
Vardas73101         Pavarde73101        5.00                4.60                
Vardas73505         Pavarde73505        5.00                5.00                
Vardas73643         Pavarde73643        5.00                4.60                
Vardas73644         Pavarde73644        5.00                4.60                
Vardas74158         Pavarde74158        5.00                5.80                
Vardas74286         Pavarde74286        5.00                5.80                
Vardas74614         Pavarde74614        5.00                5.00                
Vardas74674         Pavarde74674        5.00                5.80                
Vardas74751         Pavarde74751        5.00                5.00                
Vardas75072         Pavarde75072        5.00                4.60                
Vardas75177         Pavarde75177        5.00                5.00                
Vardas75328         Pavarde75328        5.00                5.00                
Vardas75488         Pavarde75488        5.00                4.20                
Vardas75548         Pavarde75548        5.00                4.60                
Vardas75682         Pavarde75682        5.00                4.60                
Vardas76020         Pavarde76020        5.00                5.40                
Vardas76101         Pavarde76101        5.00                5.40                
Vardas76171         Pavarde76171        5.00                5.00                
Vardas76329         Pavarde76329        5.00                5.00                
Vardas76748         Pavarde76748        5.00                5.00                
Vardas76799         Pavarde76799        5.00                5.00                
Vardas76954         Pavarde76954        5.00                5.00                
Vardas77066         Pavarde77066        5.00                4.60                
Vardas77131         Pavarde77131        5.00                5.80                
Vardas77295         Pavarde77295        5.00                5.00                
Vardas77560         Pavarde77560        5.00                5.80                
Vardas77798         Pavarde77798        5.00                4.20                
Vardas77854         Pavarde77854        5.00                5.00                
Vardas78568         Pavarde78568        5.00                5.40                
Vardas78619         Pavarde78619        5.00                4.60                
Vardas78722         Pavarde78722        5.00                4.60                
Vardas78932         Pavarde78932        5.00                5.00                
Vardas79190         Pavarde79190        5.00                5.00                
Vardas79418         Pavarde79418        5.00                5.40                
Vardas79727         Pavarde79727        5.00                5.00                
Vardas80206         Pavarde80206        5.00                5.00                
Vardas80252         Pavarde80252        5.00                5.40                
Vardas80258         Pavarde80258        5.00                5.80                
Vardas80294         Pavarde80294        5.00                5.40                
Vardas80334         Pavarde80334        5.00                5.80                
Vardas80541         Pavarde80541        5.00                4.20                
Vardas80694         Pavarde80694        5.00                5.00                
Vardas80732         Pavarde80732        5.00                5.40                
Vardas80843         Pavarde80843        5.00                5.00                
Vardas80969         Pavarde80969        5.00                4.60                
Vardas81935         Pavarde81935        5.00                5.00                
Vardas82119         Pavarde82119        5.00                5.00                
Vardas82550         Pavarde82550        5.00                5.40                
Vardas82603         Pavarde82603        5.00                4.60                
Vardas82635         Pavarde82635        5.00                5.40                
Vardas82687         Pavarde82687        5.00                4.20                
Vardas82795         Pavarde82795        5.00                4.60                
Vardas82962         Pavarde82962        5.00                5.40                
Vardas83018         Pavarde83018        5.00                5.00                
Vardas83201         Pavarde83201        5.00                4.60                
Vardas83860         Pavarde83860        5.00                5.40                
Vardas83946         Pavarde83946        5.00                5.00                
Vardas84077         Pavarde84077        5.00                5.00                
Vardas84207         Pavarde84207        5.00                5.00                
Vardas84282         Pavarde84282        5.00                5.00                
Vardas84353         Pavarde84353        5.00                5.00                
Vardas84546         Pavarde84546        5.00                5.40                
Vardas84612         Pavarde84612        5.00                4.60                
Vardas84824         Pavarde84824        5.00                5.40                
Vardas84831         Pavarde84831        5.00                5.40                
Vardas84875         Pavarde84875        5.00                4.20                
Vardas84911         Pavarde84911        5.00                4.20                
Vardas84962         Pavarde84962        5.00                5.00                
Vardas85005         Pavarde85005        5.00                4.60                
Vardas85122         Pavarde85122        5.00                5.00                
Vardas85236         Pavarde85236        5.00                5.00                
Vardas85409         Pavarde85409        5.00                5.00                
Vardas85463         Pavarde85463        5.00                4.60                
Vardas85555         Pavarde85555        5.00                5.40                
Vardas85695         Pavarde85695        5.00                5.40                
Vardas85736         Pavarde85736        5.00                5.00                
Vardas85789         Pavarde85789        5.00                5.00                
Vardas85924         Pavarde85924        5.00                5.00                
Vardas86078         Pavarde86078        5.00                5.00                
Vardas86105         Pavarde86105        5.00                5.00                
Vardas86108         Pavarde86108        5.00                4.60                
Vardas86601         Pavarde86601        5.00                4.60                
Vardas86739         Pavarde86739        5.00                4.20                
Vardas86769         Pavarde86769        5.00                5.40                
Vardas86852         Pavarde86852        5.00                5.00                
Vardas86895         Pavarde86895        5.00                5.40                
Vardas87430         Pavarde87430        5.00                5.80                
Vardas87486         Pavarde87486        5.00                4.60                
Vardas87496         Pavarde87496        5.00                4.60                
Vardas87731         Pavarde87731        5.00                5.40                
Vardas87763         Pavarde87763        5.00                4.60                
Vardas87786         Pavarde87786        5.00                5.00                
Vardas88128         Pavarde88128        5.00                4.20                
Vardas88181         Pavarde88181        5.00                5.40                
Vardas88255         Pavarde88255        5.00                5.40                
Vardas88561         Pavarde88561        5.00                4.60                
Vardas89064         Pavarde89064        5.00                4.60                
Vardas89375         Pavarde89375        5.00                5.40                
Vardas89543         Pavarde89543        5.00                5.80                
Vardas89582         Pavarde89582        5.00                4.60                
Vardas89705         Pavarde89705        5.00                4.60                
Vardas89721         Pavarde89721        5.00                5.00                
Vardas89946         Pavarde89946        5.00                5.00                
Vardas90077         Pavarde90077        5.00                4.60                
Vardas90241         Pavarde90241        5.00                4.60                
Vardas90258         Pavarde90258        5.00                5.40                
Vardas90291         Pavarde90291        5.00                5.00                
Vardas90341         Pavarde90341        5.00                5.80                
Vardas90352         Pavarde90352        5.00                5.40                
Vardas90627         Pavarde90627        5.00                5.00                
Vardas90700         Pavarde90700        5.00                5.00                
